"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New London","CT","New London","New London",153,,,,,,,,,,,,,,,,,,,,,,,,174900,155000,162450,169900,159900,159900,164999.5,157134.5,149900,129000,139450,152450,129000,127450,130700,152000,164900,169950,164999.5,165000,169900,179000,169950,169900,162400,158850,159900,159900,161000,165000,159900,157450,157000,155000,152450,149900,155900,148000,149900,152447.5,155000,155750,149900,143500,141700,139450,139900,137000,135000,139900,141700,131687.5,135500,146950,139900,135500,139900,139900
"Kingston","NY","Kingston","Ulster",154,,,174900,180000,189900,192450,182450,179900,179000,174900,165000,151900,149450,139900,149900,149950,149900,149900,149900,149900,149900,156950,159000,149900,149900,149900,143200,152400,149995,149450,149995,159000,149900,138500,138500,139000,147000,149450,151999.5,156500,156500,154000,152000,149900,149900,147000,149900,144450,139000,139900,139900,139900,149000,142400,146950,139450,138500,136500,138500,138000,130000,130650,139000,139450,139000,139000,139000,139900,139950,139450,142000,142000,147450,142500,149900,149900,152000,159000,159000,152000,152000
"Auburn","ME","Lewiston","Androscoggin",155,125800,105000,104950,108500,107500,108500,125000,117450,124900,122450,121450,115000,115000,111000,113450,108500,108000,110000,110000,115000,119000,115000,106200,99450,101200,100750,105750,111450,114700,114900,114950,119900,125900,126900,119900,116400,119900,119900,119900,122317.5,119984,124867.5,122365,120997.5,119984,115000,116950,114900,107000,105000,105000,111200,115000,128400,115000,122500,115000,127800,126200,119950,119900,127500,119450,119000,119900,122500,119950,125000,119900,125000,125000,119900,122450,119900,119900,121000,120450,120000,120000,119950,119900
"Pottstown","PA","Philadelphia","Montgomery",156,,155000,150000,150000,150000,144950,144900,139900,136900,136000,136000,135500,132000,125000,129950,129000,129900,129900,127450,127450,129900,125000,129900,119750,124500,119750,119000,119000,125950,125000,124900,122000,114900,119900,119900,120000,116250,118900,118400,115000,116450,115000,127900,112500,117900,115000,124900,129900,129000,129950,124900,121950,124900,122400,115000,114900,110899,114900,114950,112899.5,109900,110000,121450,121450,123900,119000,114900,114900,114900,114900,106000,105000,1e+05,105000,105000,109900,112900,110950,109000,109000,112900
"Washington","IL","Peoria","Tazewell",157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52500,52500,51500,51500,51500,51500,51500,51500,51700,51500,51500,51500,51500,51500,51500
"Biddeford","ME","Portland","York",158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174900,2e+05,174900,172400,179000,179000,179950,173500,169000,167000,165000,169000
"Town of Amsterdam","NY","Amsterdam","Montgomery",159,,,,,,,,,,,,,,,,,,,,,,,,,,,67250,65250,65000,68000,65500,69000,65500,64950,64900,64900,65000,64950,65000,64900,61900,64900,61400,60900,61900,60450,57400,55000,59900,59999,60000,65000,64900,60000,61000,60000,64950,65000,59900,59450,58500,57900,59900,59000,59000,59500,51500,53500,55000,59000,56900,55000,55950,55000,60000,62595,62000,59450,62595,62000,64900
"Johnstown","PA","Johnstown","Cambria",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38900,39900,39900,39900,38900,38900,36450,35950,35000,37400,35950,35000,36900,36200,32900,31700,28700,27250,29900,29900,34900,32900
"Augusta","ME","Augusta","Kennebec",161,,,,,,89900,89900,95000,99900,109950,109950,109000,109000,114900,109000,114900,118950,119900,124500,121900,115000,110950,114950,119900,123900,129900,121900,129500,118700,114900,114900,114900,119450,119900,124900,116950,124000,119000,119000,119000,116250,110000,110000,109950,104900,107400,110000,106450,110000,109900,110000,111750,111250,112500,115000,114200,112500,112500,116450,116500,114950,101250,106000,112900,109900,111400,109900,109000,99900,99900,99900,99900,98350,94900,94900,99450,112900,113700,113700,99900,99900
"East Peoria","IL","Peoria","Tazewell",162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57500,57500,57500,58000,57500,58000,57500,57500,58000,58450,59500,59500
