"RegionName","State","Metro","CountyName","SizeRank","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Orlando","FL","Orlando","Orange",11,,,,,,,,,,,,,,,,,,,0.530341472045294,0.589176736238252,0.613046448087432,0.59274033272948,0.566801619433198,0.604395604395604,0.625,0.644893899204244,0.601250601250601,0.585865983156353,0.609457806767224,0.580334936163157,0.579529243937232,0.584776334776335,0.609859117570401,0.613014775227916,0.629853361945637,0.61996336996337,0.651542649727768,0.643768821924533,0.632571216491183,0.625909065607613,0.61671874381019,0.618928235662802,0.605450601099801,0.597441896414656,0.593839612812773,0.598516949152542,0.615382799962239,0.645756512405882,0.645161290322581,0.628272251308901,0.633675316837658,0.61204038993819,0.631327116928917,0.634809460217771,0.635311143270622,0.651408450704225,0.660348977135981,0.609579100145138,0.637510460371506,0.664001626790789,0.671599949372859,0.656128839844915,0.659874057353626,0.632449322714704,0.636758321273517,0.65955655346618,0.640201110258365,0.657509157509158,0.660503540519276,0.680397606269699,0.700027748759467,0.661639157655094,0.698088455772114,0.68856670718789
"New Haven","CT","New Haven","New Haven",12,,,,,,,,,,,0.362796833773087,0.362796833773087,0.359969845457972,0.356530827464126,0.35472972972973,0.345877144438296,0.3483005521049,0.383749488334016,0.358843537414966,0.348214285714286,0.348214285714286,0.347076940957694,0.378977178077628,0.372555107109593,0.370509373231593,0.369293533425483,0.348117939639184,0.3458552055993,0.349013657056146,0.363173477073232,0.36468330134357,0.416783638864715,0.386465132256956,0.376647834274953,0.40522286445656,0.390370852309694,0.390370852309694,0.36468330134357,0.36468330134357,0.386363636363636,0.36709208092978,0.386363636363636,0.37718395252838,0.368562206845307,0.386363636363636,0.383553030145532,0.386414384310296,0.375219318554412,0.365230094959825,0.363839957564295,0.36468330134357,0.365230094959825,0.371538302301448,0.373458268182963,0.380005448106783,0.386465132256956,0.391403297835795,0.394121069887067,0.386465132256956,0.386363636363636,0.370296912593687,0.36468330134357,0.365007502093369,0.34937307220113,0.365331702843167,0.376372975437807,0.377187688593844,0.38107335662115,0.393876632743539,0.358535855840148,0.403667332927783,0.365007502093369,0.405405405405405,0.36468330134357
"Cumming","GA","Atlanta","Forsyth",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.639327660594439,0.626090281776074,0.63758389261745,0.649717514124294,0.649717514124294,0.649341649341649,0.666745584496609,0.655172413793103,0.657916537226882,0.655172413793103,0.657399015691709,0.644813224914429,0.649448857176583
"Frisco","TX","Dallas-Fort Worth","Collin",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.728256171516404,0.73327222731439,0.713241529793262,0.767255422433854,0.788066422741345,0.768028846153846,0.783085356303837,0.761076379450938,0.769822940723634,0.771509408506147,0.769646368113918,0.738078297090171,0.727173295213193,0.739691532892666,0.7301702922213,0.772668767137598,0.804827519135964,0.759601276407999,0.78740157480315,0.748003493302946,0.774706867671692,0.724400871459695,0.772014475271411,0.779896013864818,0.794470264798176,0.801538954793203,0.763570504110639,0.825595984943538,0.815853990738219,0.778904269838175,0.750775172905158
"Waterbury","CT","New Haven","New Haven",15,,,,0.247390633160272,0.245057601005149,0.246573625705168,0.247852058040301,0.240536389918775,0.238777758900313,0.234364702781073,0.236127508854782,0.237642585551331,0.246460251827618,0.248336269328636,0.245535714285714,0.241690331547983,0.237642585551331,0.236294896030246,0.234159779614325,0.241274928774929,0.242284948167301,0.245706150760796,0.245901639344262,0.244200244200244,0.261382799325464,0.252502752502753,0.249356499356499,0.240312427812428,0.241779497098646,0.240384615384615,0.242248062015504,0.236127508854782,0.240316671739792,0.256532692838425,0.258313023800251,0.255255255255255,0.255551604235815,0.255847953216374,0.255255255255255,0.255847953216374,0.255255255255255,0.255255255255255,0.256458680978367,0.255847953216374,0.25706940874036,0.265672782874618,0.263008106145361,0.246556473829201,0.256410256410256,0.268230230025861,0.272379089968106,0.267145822292881,0.261131529069935,0.260296163735675,0.260330578512397,0.269485903814262,0.260549405832823,0.265522875816993,0.276002324230099,0.259489916963227,0.269983439460733,0.259589947089947,0.266312780366558,0.274463726199084,0.27114967462039,0.276052449965493,0.27114967462039,0.27114967462039,0.274463726199084,0.260261748958953,0.268427781862271,0.256107171000788,0.268470397035023,0.258493978766014
"Somerville","MA","Boston","Middlesex",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20481927710843,1.02675793403858,1.01659957893555,0.994891092968776,1.10267034990792,1.19787045252884,1.14832535885167,1.10574761322165,1.1241105230818,0.983284169124877,0.956765676567657,0.983190612115446,0.99889012208657,1.00881830061254,0.993676693529083,0.99128066072939,0.957224050254263,0.91894927798112,0.952380952380952,0.93302232589137,0.8920753870943,0.916380297823597,0.969882593159775,0.940054495912807,0.982042648709315,0.956365809922295,0.992481203007519,1.01508987589964
"Greenwich","CT","Stamford","Fairfield",17,,,,,,,,,,,,,,,,,,2.38257317903336,2.38257317903336,2.61737445332608,2.67589769339828,2.52681715547383,2.53649635036496,2.42192406995542,2.43635145579339,2.40155617694789,2.33149988004438,2.26345159508674,2.36326806212019,2.52058821106058,2.53752943485086,2.53752943485086,2.69499048826887,2.61742038679657,2.61742038679657,2.80017961632402,2.54821614196614,2.52016383112791,2.44580349607149,2.50689395838556,2.44580349607149,2.48362284300798,2.46765194681861,2.3246930781384,2.35261555494049,2.44852071850436,2.48811853508527,2.57245755445035,2.52403846153846,2.46143747948802,2.52403846153846,2.66404559543353,2.44869469569786,2.52490582870738,2.36639191704334,2.37326751471426,2.62721238938053,2.82308860755946,2.83171521035599,2.52403846153846,2.44548604035052,2.46139308471298,2.52403846153846,2.52848326319071,2.51777959943283,2.51679441658289,2.47257452795563,2.52403846153846,2.61742038679657,2.70004001179313,2.76548672566372,2.70758122743682,2.50563768479078,2.5887227895334
"Eastvale","CA","Riverside","Riverside",18,,,,,,,,,,0.702619414483821,0.723783620429133,0.714285714285714,0.685816382627818,0.662894724626892,0.680544435548439,0.682952456002101,0.692771084337349,0.705616709003669,0.687442713107241,0.689243027888446,0.69257478910983,0.70867896192724,0.69424766222726,0.695494405805866,0.708174472647135,0.715625,0.705282112845138,0.699022393062454,0.702875399361022,0.709639266706091,0.689958896065766,0.689958896065766,0.693943288176703,0.684731934731935,0.678894271938717,0.696572861521315,0.712797619047619,0.697916666666667,0.692306556870318,0.68584478021978,0.686813186813187,0.685084312239485,0.684626436781609,0.687125748502994,0.687848933686143,0.686813186813187,0.688136526286815,0.688746659451455,0.694325918675242,0.704225352112676,0.710144927536232,0.715675791274594,0.709401709401709,0.689485348436346,0.720649895178197,0.714618625559222,0.72842096093385,0.721875901198468,0.745173775029425,0.71078431372549,0.730846774193548,0.728829849079998,0.727272727272727,0.72108843537415,0.72108843537415,0.741497213047069,0.742337275819419,0.733648346182542,0.752062105773896,0.743413080500426,0.730846774193548,0.77539842398202,0.757142857142857,0.772420510679747
"East Hampton","NY","New York","Suffolk",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9655172413793,19.3312434691745,18.75,18.75,18,17.5,17.3037576725386,16.24063822859,15,14.2857142857143,15.8333333333333,16.6666666666667,18.6666666666667,18.75,17.445652173913,16.25,16.2650602409639,16.3461538461538,13.6363636363636,15.4700854700855,13.614941932808,13.6931818181818,12.5,14,14.6153846153846,15.4528598718957,16.5833333333333,16.2650602409639,16.5,17,15,16,15,15.2922077922078,13.7846100996221
"Southampton","NY","New York","Suffolk",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75,13.3333333333333,13.7534671016718,16.166568627451,16.3982949565772,17.7632575757576,18.9798339264531,19.6047678795483,18.9636011737529,18.6943717277487,16.7926112510495,16.2790697674419,15.4320987654321,15.672514619883,15.7848130970129
"Bridgehampton","NY","New York","Suffolk",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16.6666666666667,16.2790697674419,17.2727272727273,16.6666666666667,16.8333333333333,18.375,18.3035714285714,17.8174603174603,16.7785234899329,16.6666666666667,18.75,17.7777777777778,20.7547169811321,18.3716475095785
