"RegionName","State","Metro","CountyName","SizeRank","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Charlotte","NC","Charlotte","Mecklenburg",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75533661740558,1.74708818635607,1.81804281345566,1.84390243902439,1.85756676557863,1.87817258883249,1.90132445551165,1.93542374222449,1.93739424703892,1.92778139232271,1.95431472081218,1.92779963983192,1.99085946108384,1.95133437990581,1.94368932038835,1.904,1.98165137614679,1.9838780689941,2.00225225225225,1.98627663274726,2.02943220792835,1.95412844036697,1.96732954545455
"Seattle","WA","Seattle","King",13,,,,,,,1.73745173745174,1.89389284376171,1.85516304347826,1.87491461748634,1.98525341130604,2.17833776091082,2.12823705179283,2.2736923286304,2.31578947368421,2.19,2.2955223880597,2.34375,2.43243243243243,2.48666666666667,2.47311827956989,2.42,2.50470219435737,2.55813953488372,2.61044176706827,2.5,2.52559726962457,2.59593679458239,2.57088846880907,2.64880952380952,2.52688172043011,2.48272497704316,2.56095749542962,2.50357142857143,2.52,2.5238416554206,2.62544802867384,2.77234795996921,2.76220806794055,2.87455973039703,2.88288288288288,2.88301447514931,2.79787234042553,2.79388631435738,2.81456953642384,2.80276816608997,2.80724954044118,2.83018867924528,2.91644908616188,2.94823896271999,2.9776247848537,2.98101957793033,2.96997295262251,2.98831385642738,2.95776883605892,2.94974874371859,2.98501267427123,3,3.02760741173416,3.08793646368065,3.04682251098232,3.16564834158487,3.15561959654179,3.12660550458716,3.23705179282869,3.23163807890223
"Baltimore","MD","Baltimore","Baltimore City",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26500951741126,2.42906560067453,2.39597481170515,2.44082840236686,2.37297830374753,2.46349206349206,2.46349206349206,2.2483378314202,2.26855895196507,2.42277167277167,2.5,2.28658536585366,2.28658536585366,2.34949364361129,2.49011940266937,2.20071467098166,2.41189024390244,2.25925486198788,2.08,2.22811671087533,2.22811671087533,2.06894480956224,2.09,2.11835748792271,2.04561601360702,2.11622807017544,2.13562753036437,2.17233009708738,2.2754854368932,2.2941660887656,2.27596220527046,2.22449524864155,2.47459795321637,2.15827338129496,2.4219592772384,2.23684210526316
"Denver","CO","Denver","Denver",15,,,,,,,,,,1.69503383940004,1.59489051094891,1.52452604216896,1.54395604395604,1.6970822466468,1.74166666666667,1.7741935483871,1.68970814132104,1.63636363636364,1.62751275127513,1.65173572228443,1.60714285714286,1.6090628090999,1.76993524514339,1.80869565217391,1.7375,1.6063829787234,1.65,1.68571428571429,1.64705882352941,1.66666666666667,1.68560606060606,1.69441892028595,1.92830785450712,2.02783300198807,2.02783300198807,2.02783300198807,1.96494464944649,1.80737734487734,1.96494464944649,1.95985401459854,2,2.05371968171796,2.05792682926829,2.05673758865248,2.00764818355641,2.11254612546125,2.11254612546125,2.10335163578129,2.12448979591837,2.25,2.33870688499687,2.2537037037037,2.25303909744208,2.36305929565315,2.36006609049314,2.28571428571429,2.3094512195122,2.27443148835214,2.32945142844551,2.22834645669291,2.22316865417376,2.43295019157088,2.47007042253521,2.35997386759582,2.47345505617978,2.35740354535975
"Washington","DC","Washington","District of Columbia",16,,,,,,,,3.80952380952381,3.62549800796813,3.6475,3.53049907578558,3.49462365591398,3.52260149314712,3.50888888888889,3.50888888888889,3.50888888888889,3.52150537634409,3.5503096697893,3.502,3.51540616246499,3.61384677663579,3.67614879649891,3.6,3.64173228346457,3.6975,3.41846954331544,3.29867844573727,3.32913165266106,3.56272522437089,3.50230769230769,3.43625,3.4,3.38715277777778,3.3531746031746,3.2849911971831,3.3125,3.36,3.3125,3.3125,3.3125,3.34151308211288,3.37306611524326,3.24710200927357,3.36041237113402,3.46236845468876,3.4721689059501,3.41499085923218,3.42918661878159,3.384,3.41636988849055,3.44597014925373,3.48935483870968,3.52719177504986,3.4979674796748,3.49514563106796,3.52941411238825,3.53697749196141,3.59212702998672,3.57492757847138,3.60440499333022,3.625,3.64197530864198,3.62622549019608,3.62361111111111,3.58134327414777,3.45235762800418
"Portland","OR","Portland","Multnomah",17,,,,,,,,,,,,,,,,,,,,,,,,2.37773654916512,2.44551380277706,2.12023642322097,2.1,2.00199572500436,2.11875,2.07377656945131,1.88973384030418,1.92,1.90972222222222,1.99372811206622,2.14246716098075,2.1423454768727,2.16741504854369,2.18473786275644,2.28562910683865,2.25529828952858,2.30571776155718,2.64044943820225,2.61842105263158,2.49354005167959,2.3508353221957,2.30444444444444,2.30795992714026,2.30384677095868,2.39856801909308,2.46428571428571,2.52415458937198,2.54437869822485,2.58411214953271,2.61851851851852,2.59389740205782,2.61621044701155,2.51322751322751,2.56178846627939,2.58229837389501,2.51322751322751,2.46382428940568,2.51578947368421,2.51258992805755,2.54186046511628,2.59259259259259,2.64748201438849
"Albuquerque","NM","Albuquerque","Bernalillo",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31403118040089,1.27631578947368,1.27631578947368,1.29440789473684,1.27631578947368,1.35574837310195,1.31403118040089,1.4207650273224,1.31403118040089,1.29517348493729,1.35574837310195,1.35574837310195,1.36612021857923,1.35140997830803,1.3125,1.28834355828221,1.38752783964365,1.37682402911144,1.36612021857923,1.36612021857923,1.35140997830803,1.37682402911144,1.375,1.33053221288515,1.26923076923077,1.27631578947368,1.33125
"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",19,,,,,,,,,,1.77906976744186,1.98875,1.89621212121212,1.80714285714286,1.80519480519481,1.77906976744186,1.74431818181818,1.77906976744186,1.70027173913043,1.73806818181818,1.7375,1.8125,1.8125,1.88888888888889,1.93303571428571,1.92857142857143,1.87762605042017,1.84883720930233,2.09230769230769,1.97368421052632,1.7625,1.80735294117647,1.75735294117647,1.775,1.84033613445378,1.85454545454545,1.81818181818182,1.86666666666667,1.9250645994832,2.20759493670886,2.12857142857143,2.10526315789474,2.16838649155722,1.89499282982792,1.84732142857143,1.92307692307692,1.85714285714286,1.91153846153846,1.98944444444444,2.12632978723404,2.09375,1.995,2.20483606557377,2.23609022556391,2.0679012345679,2.21967213114754,2.17272727272727,2.3125,2.23679511278195,2.2375,2.27,2.31558823529412,2.375,2.39,2.46666666666667,2.60416666666667,2.32712765957447
"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",20,,,,,,,,,,2.55643738977072,2.53475768457813,2.55905511811024,2.55731922398589,2.60141093474427,2.56024096385542,2.6,2.61147540983607,2.56024096385542,2.5,2.55731922398589,2.4375,2.66666666666667,2.60679713804714,2.734375,2.60501492942454,2.4875,2.77777777777778,2.91823715736759,2.81821951248,2.74809160305344,2.90218186922822,2.79605263157895,2.8125,2.75590551181102,2.75590551181102,2.7336860670194,2.66666666666667,2.80582074665147,2.83018867924528,2.74447769521443,2.78330019880716,2.83018867924528,2.8093112244898,2.72157583661002,2.74259821417231,2.8093112244898,2.93558766391452,2.91005291005291,2.93637846655791,3.07852674098443,3.10709342560554,3.08529945553539,3.00665585422704,2.96296296296296,2.93050826471863,2.92721518987342,2.96812598833805,2.96296296296296,2.92194092827004,2.94699872286079,2.92998204667864,2.94140351899324,2.9662211583217,2.92721518987342,3.01950866600414,2.93103448275862
"Minneapolis","MN","Minneapolis-St Paul","Hennepin",21,,,,,,,,,,,,,,,,1.72714285714286,1.98190476190476,2.1551724137931,2.11038961038961,2.02341137123746,2.203125,2.11538461538462,2.18472468916519,2.10134865134865,2.11288711288711,2.25524475524476,1.98554931532782,2.05357142857143,1.95283732660782,2.05357142857143,1.97551789077213,1.93548387096774,1.89222423146474,1.90364144248433,2.12569316081331,2.1049235711121,2.12345264101271,2.07812066894576,2.08181265206813,2.03601073612009,2.08941605839416,2.06860706860707,2.02734407015818,1.97417759374281,2.0223752151463,1.91176470588235,2.00897666068223,2.03016241299304,1.9975,2.01877614045679,2.15315315315315,2.0890350877193,2.13353115727003,2.16393442622951,2.16228546064313,2.21958925750395,2.22708426436268,2.20909090909091,2.20720720720721,2.10014306151645,2.12370909543362,2.1225,2.14985163204748,2.12032088557247,2.11428571428571,2.22649572649573
