"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"Louisville","KY","Louisville/Jefferson County","Jefferson",74,929,0.00215749730312837,0.00107758620689655,-0.00428724544480171,115846
2016-09-30,"Henderson","NV","Las Vegas","Clark",75,1442,-0.000693000693000693,-0.00414364640883978,0.00557880055788006,88771
2016-09-30,"Modesto","CA","Modesto","Stanislaus",76,1332,0.00150375939849624,0.00528301886792453,0.0707395498392283,64020
2016-09-30,"Mobile","AL","Mobile","Mobile",77,927,0.00542299349240781,0.00216216216216216,-0.0231822971548999,83257
2016-09-30,"Jersey City","NJ","New York","Hudson",78,2106,-0.000474608448030375,0.0076555023923445,0.0223300970873786,28396
2016-09-30,"Lubbock","TX","Lubbock","Lubbock",79,1185,0.00169061707523246,-0.0016849199663016,-0.0016849199663016,72512
2016-09-30,"Glendale","AZ","Phoenix","Maricopa",80,1275,0.000784929356357928,0.00157109190887667,0.0425183973834832,59823
2016-09-30,"Durham","NC","Durham","Durham",81,1335,0.00300525920360631,0.00754716981132076,0.0348837209302326,68857
2016-09-30,"Orlando","FL","Orlando","Orange",82,1458,0.00551724137931034,0.0195804195804196,0.0511896178803172,47941
2016-09-30,"Norfolk","VA","Virginia Beach","Norfolk City",83,1273,0.001573564122738,0.001573564122738,-0.00702028081123245,50447
2016-09-30,"Saint Petersburg","FL","Tampa","Pinellas",84,1327,0.00150943396226415,0.00682852807283763,0.0473559589581689,78097
2016-09-30,"Pensacola","FL","Pensacola","Escambia",85,974,-0.00713557594291539,-0.0121703853955375,0.0306878306878307,84705
2016-09-30,"Fort Wayne","IN","Fort Wayne","Allen",86,974,0.00308959835221421,0.00932642487046632,0.0350690754516472,87309
2016-09-30,"Greensboro","NC",,"Guilford",87,1028,-0.000971817298347911,0.000973709834469328,-0.00676328502415459,91875
2016-09-30,"Lincoln","NE","Lincoln","Lancaster",88,1277,-0.00234375,-0.00545171339563863,0.000783699059561128,68788
2016-09-30,"San Bernardino","CA","Riverside","San Bernardino",89,1428,0.00421940928270042,0.0142045454545455,0.0469208211143695,45017
2016-09-30,"Corona","CA","Riverside","Riverside",90,2182,0.0032183908045977,0.00645756457564576,0.0282752120640905,41392
2016-09-30,"Chula Vista","CA","San Diego","San Diego",91,2486,0.00120821586790173,0.00363342753330642,0.0247320692497939,42272
2016-09-30,"Chesapeake","VA","Virginia Beach","Chesapeake City",92,1666,-0.00119904076738609,-0.0112759643916914,-0.0397694524495677,61654
2016-09-30,"Hialeah","FL","Miami-Fort Lauderdale","Miami-Dade",93,2086,0.000959692898272553,0.00336700336700337,0.0847633905356214,26640
2016-09-30,"Madison","WI","Madison","Dane",94,1613,0.0100187852222918,0.0176656151419558,-0.00185643564356436,54417
2016-09-30,"Garland","TX","Dallas-Fort Worth","Dallas",95,1412,0.00141843971631206,0.00498220640569395,0.0537313432835821,58499
2016-09-30,"Fontana","CA","Riverside","San Bernardino",96,1844,0,0.00381056069678824,0.032474804031355,46596
2016-09-30,"Fort Myers","FL","Fort Myers","Lee",97,1686,-0.00236686390532544,0.00118764845605701,0.0343558282208589,65002
2016-09-30,"Knoxville","TN","Knoxville","Knox",98,1015,0.00594648166501487,0.00694444444444444,0.0774946921443737,62534
2016-09-30,"Laredo","TX","Laredo","Webb",99,1150,-0.0254237288135593,-0.0604575163398693,-0.0384615384615385,49676
2016-09-30,"North Las Vegas","NV","Las Vegas","Clark",100,1198,-0.000834028356964137,-0.00249791840133222,0.0143945808636749,64592
2016-09-30,"Lawrenceville","GA","Atlanta","Gwinnett",101,1369,0.00587803085966201,0.0118255728011826,0.0347694633408919,65657
2016-09-30,"Fremont","CA","San Francisco","Alameda",102,3281,-0.00152160681679854,0.00428527701254974,0.0317610062893082,46380
2016-09-30,"Fayetteville","NC","Fayetteville","Cumberland",103,860,-0.00116144018583043,-0.00578034682080925,-0.020501138952164,74431
2016-09-30,"Springfield","MO","Springfield","Greene",104,820,-0.00121802679658952,-0.00485436893203883,0.0123456790123457,73597
2016-09-30,"Arlington","VA","Washington","Arlington",105,3324,-0.0021014710297208,0.000300932891965092,0.00544464609800363,28706
2016-09-30,"Irving","TX","Dallas-Fort Worth","Dallas",106,1486,-0.00134408602150538,0,0.0729241877256318,36093
2016-09-30,"Gilbert","AZ","Phoenix","Maricopa",107,1536,0.000651465798045603,0.00326583932070542,0.0205980066445183,75634
2016-09-30,"Scottsdale","AZ","Phoenix","Maricopa",108,2805,-0.000356379187455453,0.0057368232341341,0.0144665461121157,72378
2016-09-30,"Rochester","NY","Rochester","Monroe",109,985,-0.0080563947633434,-0.0343137254901961,-0.015984015984016,42058
2016-09-30,"Winston-Salem","NC","Winston-Salem","Forsyth",110,1030,-0.00193798449612403,-0.00675024108003857,0.020812685827552,67722
2016-09-30,"Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",111,3430,0.000875401225561716,0.00586510263929619,0.0579888957433683,41212
2016-09-30,"Richmond","VA","Richmond","Richmond City",112,1208,0.00415627597672485,0.00918964076858814,0.0531822144725371,58497
2016-09-30,"Boca Raton","FL","Miami-Fort Lauderdale","Palm Beach",113,2671,0.00754432289701999,0.0117424242424242,0.00868580060422961,51124
2016-09-30,"Oxnard","CA","Ventura","Ventura",114,2390,0,0.00546907867059318,0.0382276281494353,30896
2016-09-30,"Bradenton","FL","North Port-Sarasota-Bradenton","Manatee",115,1714,0,0,-0.0132412204951065,62649
2016-09-30,"Montgomery","AL","Montgomery","Montgomery",116,847,-0.00117924528301887,-0.0116686114352392,-0.048314606741573,75678
2016-09-30,"Santa Rosa","CA","Santa Rosa","Sonoma",117,2558,0.00195848021934978,0.00827749310208908,0.0707408957722897,46556
2016-09-30,"Des Moines","IA","Des Moines","Polk",118,1144,-0.00435161009573542,-0.0103806228373702,-0.00348432055749129,62640
2016-09-30,"Reno","NV","Reno","Washoe",119,1623,0.00123380629241209,0.00870105655686762,0.0470967741935484,63039
2016-09-30,"Spokane","WA","Spokane","Spokane",120,1096,0.00182815356489945,0.00827966881324747,0.0148148148148148,72077
2016-09-30,"Augusta","GA","Augusta","Richmond",121,842,0.00238095238095238,0,0.0169082125603865,60283
2016-09-30,"Tacoma","WA","Seattle","Pierce",122,1498,0.00536912751677852,0.0155932203389831,0.0910415149308084,57495
2016-09-30,"Grand Rapids","MI","Grand Rapids","Kent",123,1204,0.00837520938023451,0.0308219178082192,0.0935513169845595,63558
2016-09-30,"Oceanside","CA","San Diego","San Diego",124,2373,0.00168847615027438,0.00593471810089021,0.0527950310559006,40640
2016-09-30,"Gainesville","FL","Gainesville","Alachua",125,1273,-0.00156862745098039,-0.00856697819314642,0.017585931254996,46972
2016-09-30,"Woodbridge","VA","Washington","Prince William",126,1987,-0.00200904068307383,-0.00600300150075038,-0.00749250749250749,34682
2016-09-30,"Ocala","FL","Ocala","Marion",127,1017,0,-0.000982318271119843,0.0324873096446701,71166
2016-09-30,"Glendale","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",128,3325,0.00210970464135021,0.00849256900212314,0.0495580808080808,24440
2016-09-30,"Boise","ID","Boise City","Ada",129,1226,-0.000814995925020375,0.00574241181296144,0.0496575342465753,71752
2016-09-30,"Greenville","SC","Greenville","Greenville",130,1271,0.00236593059936909,-0.0078064012490242,0.00713153724247227,62356
2016-09-30,"Birmingham","AL","Birmingham","Jefferson",131,748,-0.00133511348464619,-0.00664010624169987,-0.00133511348464619,75443
2016-09-30,"Salt Lake City","UT","Salt Lake City","Salt Lake",132,1477,0.00271554650373388,0.00887978142076503,0.0467753366406804,43360
2016-09-30,"Huntington Beach","CA","Los Angeles-Long Beach-Anaheim","Orange",133,3205,0.00031210986267166,0.00533249686323714,0.059504132231405,46063
2016-09-30,"Akron","OH","Akron","Summit",134,750,0.00267379679144385,-0.00662251655629139,-0.00793650793650794,62826
2016-09-30,"Rockford","IL","Rockford","Winnebago",135,924,-0.00538213132400431,-0.0232558139534884,-0.00645161290322581,51429
2016-09-30,"Salinas","CA","Salinas","Monterey",136,2178,0.00600461893764434,0.0471153846153846,0.107269954245043,29898
2016-09-30,"Worcester","MA","Worcester","Worcester",137,1590,0,0.0120942075111394,0.0635451505016722,26413
2016-09-30,"Moreno Valley","CA","Riverside","Riverside",138,1647,0.00426829268292683,0.00610873549175321,0.0417457305502846,44026
2016-09-30,"Little Rock","AR","Little Rock","Pulaski",139,1071,-0.0101663585951941,-0.0307692307692308,-0.00833333333333333,64848
2016-09-30,"Port Saint Lucie","FL","Port St. Lucie","Saint Lucie",140,1409,0.00213371266002845,-0.00212464589235127,0.0367917586460633,77326
2016-09-30,"Brownsville","TX","Brownsville","Cameron",141,932,-0.00427350427350427,-0.00639658848614072,0.014145810663765,44825
2016-09-30,"Providence","RI","Providence","Providence",142,1577,-0.00504731861198738,0.00638162093171666,0.0698778833107191,16086
2016-09-30,"Amarillo","TX","Amarillo","Potter",143,1175,-0.00843881856540084,-0.0183792815371763,0.0129310344827586,59948
2016-09-30,"Lancaster","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",144,1623,0.00932835820895522,0.0246212121212121,0.089261744966443,45138
2016-09-30,"Fort Collins","CO","Fort Collins","Larimer",145,1805,-0.00878638110928062,-0.0184883088635128,0.0169014084507042,50015
2016-09-30,"Shreveport","LA","Shreveport","Caddo",146,925,-0.00751072961373391,-0.030398322851153,-0.0159574468085106,68723
2016-09-30,"Evansville","IN","Evansville","Vanderburgh",147,845,-0.0185830429732869,-0.0548098434004474,-0.0734649122807018,65234
2016-09-30,"Yonkers","NY","New York","Westchester",148,2829,0.00425985090521832,0.0261153427638738,0.0793590232735597,16445
2016-09-30,"Hayward","CA","San Francisco","Alameda",149,2714,0.00667655786350148,0.0229928382962684,0.100567721005677,30077
2016-09-30,"Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",150,1992,-0.004,-0.0069790628115653,0.00911854103343465,43908
2016-09-30,"Chattanooga","TN","Chattanooga","Hamilton",151,1116,-0.0088809946714032,-0.0354364736387208,0.00995475113122172,48642
2016-09-30,"Columbus","GA","Columbus","Muscogee",152,811,-0.00123152709359606,-0.0109756097560976,-0.0181598062953995,53741
2016-09-30,"Aurora","IL","Chicago","Kane",153,1544,-0.000647249190938511,-0.00834938985228003,-0.0115236875800256,44155
2016-09-30,"Ontario","CA","Riverside","San Bernardino",154,1895,-0.00263157894736842,-0.00368033648790747,0.0338243316966721,26404
2016-09-30,"Jackson","MS","Jackson","Hinds",155,802,-0.00248756218905473,-0.0110974106041924,-0.00865265760197775,53562
2016-09-30,"Grand Prairie","TX","Dallas-Fort Worth","Dallas",156,1444,0.0013869625520111,0.00557103064066852,0.0433526011560694,42100
2016-09-30,"Rancho Cucamonga","CA","Riverside","San Bernardino",157,2307,0.00391644908616188,0.00918635170603675,0.0340654415060511,37550
2016-09-30,"Overland Park","KS","Kansas City","Johnson",158,1913,0.00157068062827225,-0.00726517903476907,0.00209533787323206,49468
2016-09-30,"Newport News","VA","Virginia Beach","Newport News City",159,1243,-0.00480384307445957,-0.0173913043478261,-0.02890625,43459
2016-09-30,"Garden Grove","CA","Los Angeles-Long Beach-Anaheim","Orange",160,2586,0.00310318076027929,0.0125293657008614,0.05810147299509,29361
2016-09-30,"Killeen","TX","Killeen","Bell",161,947,-0.00105485232067511,-0.0155925155925156,-0.0326864147088866,40972
2016-09-30,"Roanoke","VA","Roanoke","Roanoke City",162,1065,0.00188146754468485,0.00947867298578199,0.0523715415019763,58688
2016-09-30,"Sioux Falls","SD","Sioux Falls","Minnehaha",163,1170,-0.00255754475703325,0.00429184549356223,0.0344827586206897,44224
2016-09-30,"Tempe","AZ","Phoenix","Maricopa",164,1468,0,0,0.0338028169014084,31676
2016-09-30,"Vancouver","WA","Portland","Clark",165,1590,0.00888324873096447,0.014030612244898,0.0607071380920614,43348
2016-09-30,"Huntsville","AL","Huntsville","Madison",166,1005,0,-0.00789733464955577,-0.0796703296703297,58956
2016-09-30,"El Cajon","CA","San Diego","San Diego",167,2395,0,0.00251151109250733,0.0376949740034662,27297
2016-09-30,"Palmdale","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",168,1691,0.00654761904761905,0.0180614087898856,0.0628535512256442,44220
2016-09-30,"Topeka","KS","Topeka","Shawnee",169,914,-0.00760043431053203,-0.045929018789144,-0.0338266384778013,53838
2016-09-30,"Elk Grove","CA","Sacramento","Sacramento",170,1808,0.00444444444444444,0.0128851540616246,0.0529994175888177,46924
2016-09-30,"Pueblo","CO","Pueblo","Pueblo",171,1088,0.00184162062615101,0,0.0934673366834171,51224
2016-09-30,"Fredericksburg","VA","Washington","Spotsylvania",172,1561,-0.00382897255902999,-0.00951776649746193,-0.0126502213788741,57751
2016-09-30,"Cape Coral","FL","Fort Myers","Lee",173,1562,0.00192431045542014,0.012970168612192,0.0597014925373134,72827
2016-09-30,"Springfield","MA","Springfield","Hampden",174,1412,-0.0118964310706788,-0.0328767123287671,0.0299051787016776,27114
2016-09-30,"Pembroke Pines","FL","Miami-Fort Lauderdale","Broward",175,2299,-0.00476190476190476,-0.00776866637893828,0.0181576616474756,45345
2016-09-30,"Murfreesboro","TN","Nashville","Rutherford",176,1395,0.0021551724137931,0.0152838427947598,0.0528301886792453,55936
2016-09-30,"Clarksville","TN","Clarksville","Montgomery",177,1023,0.0019588638589618,0.000978473581213307,-0.0284900284900285,61119
2016-09-30,"Naperville","IL","Chicago","Du Page",178,2466,-0.000405350628293474,-0.000810372771474879,-0.027602523659306,45227
2016-09-30,"Peoria","AZ","Phoenix","Maricopa",179,1396,0,0.00503959683225342,0.0449101796407186,53235
2016-09-30,"Fairfax","VA","Washington","Fairfax",180,2750,0.00291757840991977,0.00769512641993404,0.014760147601476,26145
2016-09-30,"Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",181,2660,0.00415251038127595,0.0121765601217656,0.0563939634630659,31637
2016-09-30,"Pomona","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",182,2018,0.00148883374689826,0.00849575212393803,0.0660327522451136,22561
2016-09-30,"Lafayette","LA","Lafayette","Lafayette",183,1348,-0.0110051357300073,-0.0316091954022989,-0.0684174153420871,48986
2016-09-30,"Kansas City","KS","Kansas City","Wyandotte",184,824,-0.00242130750605327,-0.0202140309155767,-0.00961538461538462,46492
2016-09-30,"Boynton Beach","FL","Miami-Fort Lauderdale","Palm Beach",185,2144,0.00140121438580103,0.00610042233693102,0.0443253774963468,44309
2016-09-30,"Syracuse","NY","Syracuse","Onondaga",186,1102,-0.00361663652802893,-0.0247787610619469,-0.00271493212669683,25560
2016-09-30,"Salem","OR","Salem","Marion",187,1439,0.00278745644599303,0.00982456140350877,0.071481757259866,39159
2016-09-30,"Hollywood","FL","Miami-Fort Lauderdale","Broward",188,1816,-0.00274574409665019,-0.000550357732526142,0.018508132361189,38813
2016-09-30,"Paterson","NJ","New York","Passaic",189,1484,-0.013953488372093,-0.035110533159948,-0.0862068965517241,20201
2016-09-30,"Lakewood","CO","Denver","Jefferson",190,2099,-0.00285035629453682,-0.00474158368895211,0.0432405566600398,35852
2016-09-30,"Alexandria","VA","Washington","Alexandria City",191,3088,-0.00290603810138844,0.000323939099449304,-0.0134185303514377,15786
2016-09-30,"Dayton","OH","Dayton","Montgomery",192,708,-0.00141043723554302,-0.00421940928270042,0.032069970845481,46104
2016-09-30,"Yuma","AZ","Yuma","Yuma",193,951,-0.00730688935281837,-0.0256147540983607,-0.0345177664974619,30937
2016-09-30,"Sunnyvale","CA","San Jose","Santa Clara",194,4001,-0.00299028158484924,-0.00224438902743142,0.00325977933801404,22123
2016-09-30,"Visalia","CA","Visalia","Tulare",195,1248,0,-0.00239808153477218,-0.0227094753328113,37711
2016-09-30,"Las Cruces","NM","Las Cruces","Dona Ana",196,988,-0.00403225806451613,-0.0169154228855721,-0.00302724520686176,39288
2016-09-30,"Charleston","SC","Charleston","Charleston",197,1863,0.00107469102632993,0.016366612111293,0.067621776504298,50562
2016-09-30,"Beaumont","TX","Beaumont","Jefferson",198,1068,0.0084985835694051,0.0028169014084507,0.0439882697947214,39442
2016-09-30,"Pasadena","TX","Houston","Harris",199,1330,0.00150602409638554,0.00226073850791258,0.0238645111624326,30075
2016-09-30,"Bridgeport","CT","Stamford","Fairfield",200,1957,-0.00356415478615071,-0.0121150933871782,0.0431769722814499,14952
2016-09-30,"Eugene","OR","Eugene","Lane",201,1372,0.00292397660818713,0.0178041543026706,0.0743931088488645,49196
2016-09-30,"Escondido","CA","San Diego","San Diego",202,2336,-0.000855431993156544,0.000856898029134533,0.0484739676840215,26419
2016-09-30,"Newark","DE","Philadelphia","New Castle",203,1488,-0.00334896182183523,-0.00866089273817455,0.0283344851416724,40859
2016-09-30,"Sugar Land","TX","Houston","Fort Bend",204,2083,-0.0132638559924207,-0.0343069077422346,-0.057039384336804,47935
2016-09-30,"Round Rock","TX","Austin","Williamson",205,1688,-0.00177409816676523,-0.00059206631142688,0.00356718192627824,40298
2016-09-30,"Hampton","VA","Virginia Beach","Hampton City",206,1189,-0.00585284280936455,-0.0238095238095238,-0.0197856553998351,44098
2016-09-30,"Pasadena","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",207,3052,0.00328731097961867,0.013953488372093,0.0648988136775994,22081
2016-09-30,"Torrance","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",208,3122,0.00192554557124519,0.00807232805941233,0.0597420230821453,27226
2016-09-30,"Columbia","SC","Columbia","Richland",209,1128,-0.0079155672823219,-0.0182767624020888,-0.00704225352112676,28883
2016-09-30,"Tyler","TX","Tyler","Smith",210,1186,-0.00419815281276238,-0.0141313383208645,-0.0198347107438017,38509
2016-09-30,"Mesquite","TX","Dallas-Fort Worth","Dallas",211,1327,0.0037821482602118,0.00454201362604088,0.037529319781079,36640
2016-09-30,"Fullerton","CA","Los Angeles-Long Beach-Anaheim","Orange",212,2834,0.00460829493087558,0.0212612612612613,0.0698376745941865,26690
2016-09-30,"Warren","MI","Detroit","Macomb",213,1139,-0.00262697022767075,-0.0172562553925798,-0.00262697022767075,45151
