SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,Townhouse,72 Townsend St #100,San Francisco,CA,94107,2999999,3,3.5,South Beach,3300,,2016,10,Active,,,http://www.redfin.com/CA/San-Francisco/72-Townsend-St-94107/unit-100/home/109497553,San Francisco MLS,62786236,N,Y,37.7812595,-122.3902125
MLS Listing,Condo/Co-op,724 16th Ave #6,San Francisco,CA,94118,799000,2,1.5,Central Richmond,,,1922,9,Active,,,http://www.redfin.com/CA/San-Francisco/724-16th-Ave-94118/unit-6/home/39546166,San Francisco MLS,62798960,N,Y,37.774336,-122.474305
MLS Listing,Condo/Co-op,725 Pine #306,San Francisco,CA,94108,520000,0,1,Downtown,,,1920,17,Active,,,http://www.redfin.com/CA/San-Francisco/725-Pine-St-94108/unit-306/home/39820559,San Francisco MLS,62680475,N,Y,37.7910139,-122.407697
MLS Listing,Condo/Co-op,725 Pine St #205,San Francisco,CA,94108,479000,0,1,Downtown,,,,13,Active,,,http://www.redfin.com/CA/San-Francisco/725-Pine-St-94108/unit-000205/home/22894723,San Francisco MLS,62734282,N,Y,37.7910139,-122.407697
MLS Listing,Condo/Co-op,730 Clipper St,San Francisco,CA,94114,950000,2,2.5,Noe Valley,1281,,1976,40,Active,,,http://www.redfin.com/CA/San-Francisco/730-Clipper-St-94114/home/1431368,San Francisco MLS,62329794,N,Y,37.748868,-122.441132
MLS Listing,Condo/Co-op,738 Long Bridge St #1210,San Francisco,CA,94158,1980000,2,2,Mission Bay,1459,,2016,9,Active,,,http://www.redfin.com/CA/San-Francisco/738-Long-Bridge-St-94158/unit-1210/home/105306838,San Francisco MLS,62796126,N,Y,37.7718101,-122.3940896
MLS Listing,Condo/Co-op,74 Museum Way,San Francisco,CA,94114,2495000,4,3.5,Corona Heights,2520,,,37,Active,,,http://www.redfin.com/CA/San-Francisco/74-Museum-Way-94114/home/52055564,San Francisco MLS,62389807,N,Y,37.764445,-122.440506
MLS Listing,Condo/Co-op,74 New Montgomery St #608,San Francisco,CA,94105,1225000,2,1,Yerba Buena,952,,1914,6,Active,,,http://www.redfin.com/CA/San-Francisco/74-New-Montgomery-St-94105/unit-608/home/17305124,San Francisco MLS,62831474,N,Y,37.7876853,-122.4010321
MLS Listing,Single Family Residential,740 Bay St,San Francisco,CA,94109,5899000,5,4.5,Russian Hill,,3438,1900,31,Active,,,http://www.redfin.com/CA/San-Francisco/740-Bay-St-94109/home/1365329,San Francisco MLS,62487341,N,Y,37.805188,-122.419303
MLS Listing,Condo/Co-op,743 Minna St Unit A,San Francisco,CA,94103,875000,2,1,South of Market,1317,,1908,45,Active,,,http://www.redfin.com/CA/San-Francisco/743-Minna-St-94103/unit-A/home/109200449,San Francisco MLS,62226383,N,Y,37.776383,-122.413158
MLS Listing,Condo/Co-op,75 Folsom St #1604,San Francisco,CA,94105,3500000,3,2,South Beach,1665,,1991,31,Active,,,http://www.redfin.com/CA/San-Francisco/75-Folsom-St-94105/unit-1604/home/2027674,San Francisco MLS,62473140,N,Y,37.7900791,-122.3904683
