"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Mira Mesa","San Diego","CA","San Diego","San Diego",33,,,,,,,,,,,,,,,,,,,,,,,,,1425,1400,1400,1475,1499.5,1495,1475,1495,1437,1500,1500,1475,1500,1500,1500,1540,1495,1450,1500,1612.5,1575,1550,1500,1600,1562.5,1512.5,1550,1514.5,1562.5,1595,1600,1650,1675,1550,1495,1600,1597.5,1562.5,1562.5,1650,1650,1697.5,1695,1650,1695,1700,1662.5,1650,1747.5,1695,1700,1650,1795,1687.5,1800,1700
"West Rogers Park","Chicago","IL","Chicago","Cook",34,,,,,,,,,,,,,,,,,,1150,1100,1150,1150,1235,1175,1150,1150,1100,1100,1100,1100,1150,1122.5,1100,1062.5,1075,1050,1095,1150,1199,1200,1195,1199,1175,1175,1100,1175,1125,1135,1199.5,1295,1250,1250,1250,1200,1225,1225,1200,1199,1197,1150,1200,1200,1200,1225,1250,1300,1300,1300,1250,1250,1300,1295,1300,1262.5,1250,1250,1262.5,1275,1245,1199,1200
"Park Slope","New York","NY","New York","Kings",35,,,,,,,,,,,,,,,,,,,2800,3030,2950,2600,2500,2475,2500,2500,2525,2700,2700,2700,2800,2800,2850,2800,2740,2600,2600,2600,2725,2800,2600,2595,2600,2613,2800,2750,2850,2970,2900,2800,2895,3000,3100,2950,3000,3000,3000,2975,2900,2900,2887.5,2997.5,2995,3200,3200,3200,3200,3000,3100,3200,3200,3250,3000,2900,2825,2887.5,2975,3050,3000,3225
"Albany Park","Chicago","IL","Chicago","Cook",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1200,1200,1212.5,1197.5,1200,1225,1287.5,1300,1250,1275,1300,1350,1300,1250,1275,1297.5,1299,1299,1300,1295,1295,1250,1250,1300,1350,1350,1300,1300,1300,1300,1300,1300,1295,1325,1300,1350,1300,1350,1300,1300,1325,1300
"Westwood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3867,3950,3950,3995,4100,3997.5,3950,3750,3795,3700,3800,4100,4075,4475,4450,4100,4500,4500,3995,4100,4366.5,4345,4345,4324,4260,4000,4000,4060,3960,3900,3597.5,3775,4050,3500,3675,3900
"Gramercy","New York","NY","New York","New York",38,,,,,,,,,,,3197.5,3075,2750,2700,2800,2800,2850,2995,3145,2950,2900,2950,2900,2900,2950,3000,3000,3095,3100,3200,3200,3200,3200,3200,3200,3175,3195,3200,3200,3319.5,3295,3295,3275,3200,3250,3250,3322,3397,3395,3350,3300,3295,3200,3295,3300,3300,3400,3350,3350,3350,3400,3397.5,3400,3400,3350,3314,3350,3497.5,3495,3400,3472.5,3425,3400,3400,3400,3395,3350,3400,3400,3350
"Rogers Park","Chicago","IL","Chicago","Cook",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1262.5,1250,1250,1250,1275,1300,1300,1350,1300,1300,1275,1250,1295,1300,1300,1275,1275,1275,1300,1350,1350,1307.5,1300,1250,1300,1325,1300,1350,1350,1350,1300,1350,1375,1375
"Kempsville","Virginia Beach","VA","Virginia Beach","Virginia Beach City",40,,,,,,,1200,1197.5,1200,1200,1200,1195,1200,1195,1200,1200,1200,1200,1150,1150,1150,1150,1150,1125,1100,1100,1150,1197.5,1197.5,1199,1150,1150,1195,1175,1200,1162.5,1195,1197.5,1250,1225,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1250,1250,1250,1200,1200,1200,1200,1225,1225,1200,1200,1250,1250,1250,1250,1250,1250,1250,1200,1200,1200,1200,1200,1250,1200,1200,1277.5,1250,1250
"Little Havana","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1700,1680,1620,1597.5,1497.5,1565,1650,1550,1550,1400,1510,1615,1700,1700,1650
"Roxbury","Boston","MA","Boston","Suffolk",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2000,1900,1897.5,1800,1876,1900,1995,1900,1876,1850,1900,1850,1900,2200,2200,2175,2100,2125,2100,2175,2200,2125,2050,2100,2100,2000,2100,2100,2200,2250,2300,2200,2100,2100,1900,2100,2100,2175,2200,2200,2200,2200,2150,2175,2375
"Flagami","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",43,,,,,,,,,,,,,1100,1200,1200,1150,1175,1100,1200,1200,1225,1250,1250,1250,1200,1200,1200,1200,1200,1200,1250,1250,1200,1250,1300,1250,1300,1290,1300,1250,1300,1300,1300,1325,1295,1297.5,1300,1300,1300,1300,1300,1350,1300,1300,1300,1350,1400,1350,1300,1400,1450,1390,1300,1350,1450,1325,1450,1300,1312.5,1300,1350,1400,1470,1500,1575,1500,1600,1512.5,1550,1600
"Summerlin North","Las Vegas","NV","Las Vegas","Clark",44,,,,,,,,,,,,,,,,,,,1045,1045,1062.5,997,925,925,900,900,950,995,995,1050,1025,1072.5,950,975,1022.5,962.5,995,1095,1095,1100,1050,1137.5,1177.5,1037.5,1000,1025,1000,1025,1050,1050,1025,1099.5,1100,1062.5,1100,1170,1150,1000,1099,1150,1150,1099,1099.5,1099.5,1237.5,1150,1095,1150,1122.5,1150,1195,1150,1125,1155,1262.5,1225,1300,1250,1225,1195
"Hamilton Heights","New York","NY","New York","New York",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2000,2100,1994,2095,2000,2100,2000,2172.5,2250,2250,2100,2400,2395,2400,2400,2400,2400,2425,2400,2397.5,2397.5,2400,2450,2462.5,2450,2450,2462.5,2450,2450,2450,2462.5,2500,2500,2487.5,2462.5,2487.5,2487.5,2487.5,2450,2462.5,2487.5,2575,2575,2672.5,2500,2475,2425,2450,2425
"Woodlake - Briarmeadow","Houston","TX","Houston","Harris",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1237.5,1200,1200,1250,1200,1225,1250,1250,1200,1200,1197.5,1200,1115,1175,1115
"University City","San Diego","CA","San Diego","San Diego",47,,,,,,,,,,,,,1700,1700,1667.5,1695,1700,1750,1750,1700,1750,1795,1710,1650,1650,1650,1695,1747.5,1795,1800,1825,1750,1750,1750,1875,1795,1850,1880,1800,1785,1897.5,1900,1895,1925,1895,1850,1795,1800,1895,1895,1895,1897.5,1900,1900,1900,1950,1997.5,1950,1912.5,1900,1885,1900,1962.5,1895,1900,2000,1995,1995,1900,1900,1980,2022.5,1995,1950,1885,1900,2050,2050,2000,1997.5
"Chelsea","New York","NY","New York","New York",48,,,,,,,,,,,,,,3200,3275,3250,3200,3195,3100,3125,3200,3200,3100,3150,3350,3350,3400,3421,3400,3300,3300,3400,3395,3400,3400,3300,3389,3395,3495,3500,3495,3495,3595,3600,3650,3700,3672.5,3650,3672.5,3725,3750,3700,3995,3850,3877.5,3825,3800,3700,3750,3950,3880,3900,3990,3850,3850,3900,3850,3850,3850,3860,3860,3900,3900,3800,3700,3600,3600,3500,3650,3500
"Lake View","Chicago","IL","Chicago","Cook",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,2000,2050,2050,2100,2100,2100,2200,2200,2200,2200,2200,2200,2150,2100,2150,2100,2150,2250,2300,2200,2145,2050,2000,2072.5,2000,2195,2162.5,2200,2195,2000,2050,2100,2165,2162.5
"Oak Lawn","Dallas","TX","Dallas-Fort Worth","Dallas",50,,,,,,,,,,,,,,,,,,,1700,1800,1795,1750,1750,1597.5,1695,1650,1680,1700,1700,1667.5,1720,1700,1619.5,1597,1537.5,1545,1723,1715,1602,1650,1679,1695,1619,1620,1620,1645,1609,1500,1550,1550,1550,1600,1550,1695,1695,1523,1530,1595,1595,1609,1650,1675,1619,1650,1650,1850,1800,1650,1723,1750,1711.5,1700,1600,1700,1650,1700,1550,1523,1650,1712
"Greater Uptown","Houston","TX","Houston","Harris",51,,,,,,,,,,,,,,,,,,,,,,,,1275,1487.5,1387.5,1250,1282.5,1465,1475,1500,1625,1795,1497.5,1585.5,1825,1825,1700,1426,1500,1535,1450,1484,1480.5,1600,1600,1699.5,1665,1670,1670,1600,1503,1747,1734.5,1697.5,1503,1597.5,1625,1597.5,1600,1675,1585,1595,1600,1550,1595,1550,1595,1562.5,1500,1600,1600,1600,1600,1600,1650,1600,1592.5,1650,1675
"Valencia","Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,2097.5,2100,2075,2050,2050,2100,2250,2400,2200,2300,2050,2195
"Sunnyside","New York","NY","New York","Queens",53,,,,,,,,,,,,,,,,,,,,,,1700,1675,1650,1595,1650,1575,1625,1650,1650,1675,1675,1675,1650,1600,1600,1625,1650,1650,1650,1650,1750,1700,1700,1725,1750,1750,1772.5,1800,1800,1800,1825,1750,1800,1800,1750,1800,1800,1775,1775,1800,1800,1850,1875,1862.5,1875,1900,1874.5,1900,2000,2097,2097,2099,2050,2000,1899,1812.5,1900,2072,1975
"Memorial","Houston","TX","Houston","Harris",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722.5,1750,1750,1800,1687.5,1625,1585,1600,1500,1650,1622.5,1850,1825,1720,1720,1750,1545,1450
