"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"Wilson","CA","Riverside","San Bernardino","San Bernardino",3543,1276,-0.003125,0.000784313725490196,0.0257234726688103,924
2016-09-30,"East Isles","MN","Minneapolis-St Paul","Hennepin","Minneapolis",3544,1849,-0.00108049702863317,-0.00215866162978953,0.0706427330631152,1084
2016-09-30,"Tower Heights","OK","Tulsa","Tulsa","Tulsa",3545,1010,-0.0127077223851417,0.000991080277502478,0.0477178423236514,1013
2016-09-30,"Castlewood Park","KY","Lexington","Fayette","Lexington",3546,826,-0.00120918984280532,-0.0119617224880383,0.0048661800486618,1762
2016-09-30,"West University","AZ","Tucson","Pima","Tucson",3547,1162,-0.00683760683760684,-0.0135823429541596,0.0338078291814947,823
2016-09-30,"Turner Park","OK","Tulsa","Tulsa","Tulsa",3548,884,-0.00562429696287964,-0.0111856823266219,-0.0122905027932961,1815
2016-09-30,"Near Northwest","IN","South Bend","Saint Joseph","South Bend",3549,668,-0.00447093889716841,-0.00447093889716841,-0.0147492625368732,2062
2016-09-30,"Kleinman Park","AZ","Phoenix","Maricopa","Mesa",3550,982,0.00408997955010225,-0.00808080808080808,0.046908315565032,833
2016-09-30,"Candleridge","TX","Dallas-Fort Worth","Tarrant","Fort Worth",3551,1534,0.00392670157068063,0.0152217074784911,0.0478142076502732,1350
2016-09-30,"Cox","CA","San Francisco","Alameda","Oakland",3552,2346,0.0151449588922544,0.0539083557951483,0.223149113660063,628
2016-09-30,"Framingham","OH","Columbus","Franklin","Columbus",3553,773,0,-0.00770218228498075,0.00651041666666667,802
2016-09-30,"Alderman Park","FL","Jacksonville","Duval","Jacksonville",3554,1194,-0.005,-0.0148514851485149,0.00844594594594595,1045
2016-09-30,"Sullivan's Gulch","OR","Portland","Multnomah","Portland",3555,1638,-0.00425531914893617,-0.0168067226890756,0.027603513174404,1153
2016-09-30,"Linwood","OR","Portland","Clackamas","Milwaukie",3556,1793,0.000558035714285714,0.0158640226628895,0.0685339690107271,1314
2016-09-30,"Courier City","FL","Tampa","Hillsborough","Tampa",3557,1473,-0.0100806451612903,-0.0277227722772277,-0.0623806492679822,1896
2016-09-30,"Sierra Gardens","CA","Sacramento","Placer","Roseville",3558,1679,0.0029868578255675,0.00962116656644618,0.0539861895794099,926
2016-09-30,"Community Workers Council-Los Jardines","TX","San Antonio","Bexar","San Antonio",3559,897,0.00223463687150838,-0.00222469410456062,0.0678571428571429,899
2016-09-30,"East Congress","TX","Austin","Travis","Austin",3560,1632,0,0.00307314074984634,0.0666666666666667,968
2016-09-30,"Sunnyside","NY","New York","Richmond","New York",3561,2103,-0.00142450142450142,0.00766650694777192,-0.0209497206703911,965
2016-09-30,"North Star","AK","Anchorage","Anchorage","Anchorage",3562,1698,-0.00585480093676815,-0.0235767682576193,-0.0335799658508822,877
2016-09-30,"Kirkman North","FL","Orlando","Orange","Orlando",3563,1097,0,0.00182648401826484,0.0702439024390244,976
2016-09-30,"Noralto","CA","Sacramento","Sacramento","Sacramento",3564,1203,0.00417362270450751,0.0151898734177215,0.0683836589698046,757
2016-09-30,"Russell","OR","Portland","Multnomah","Portland",3565,1724,0.00232558139534884,0.0105509964830012,0.0668316831683168,1242
2016-09-30,"Eads-Fisherville","TN","Memphis","Shelby","Memphis",3566,1183,-0.00252951096121417,-0.00671704450041982,0.000846023688663283,1394
2016-09-30,"Village 12","CA","Sacramento","Sacramento","Sacramento",3567,1787,0.00393258426966292,0.0113186191284663,0.0605341246290801,1227
