"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"West Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",301,3081,0.00325626831650928,0.0134868421052632,0.0840957072484166,12817
2016-09-30,"Columbia Heights","DC","Washington","District of Columbia","Washington",302,2942,0.00650017105713308,0.00822481151473612,0.0261597488664109,328
2016-09-30,"Juniata Park","PA","Philadelphia","Philadelphia","Philadelphia",303,1139,-0.00087719298245614,0.00529567519858782,0.0526802218114603,268
2016-09-30,"Old Brooklyn","OH","Cleveland","Cuyahoga","Cleveland",304,917,0,-0.00542299349240781,0.0132596685082873,9820
2016-09-30,"North Central","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Pasadena",305,2521,-0.00118858954041204,-0.00355731225296443,0.0460580912863071,4142
2016-09-30,"Lincoln Heights","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",306,2265,0.00801068090787717,0.0116123269316659,0.0806297709923664,1557
2016-09-30,"Bustleton","PA","Philadelphia","Philadelphia","Philadelphia",307,1518,0.00529801324503311,0.00930851063829787,0.00596421471172962,7710
2016-09-30,"Hyde Park","MA","Boston","Suffolk","Boston",308,2418,-0.00698151950718686,-0.0146699266503667,0.0125628140703518,5176
2016-09-30,"Oak Cliff","TX","Dallas-Fort Worth","Dallas","Dallas",309,1514,-0.00721311475409836,-0.00656167979002625,0.0412654745529574,6114
2016-09-30,"Fort Bend - Houston","TX","Houston","Harris","Houston",310,1332,-0.0029940119760479,0.00150375939849624,0.0414386239249414,10580
2016-09-30,"Overbrook","PA","Philadelphia","Philadelphia","Philadelphia",311,1627,-0.00184049079754601,0,0.0124455507156192,1974
2016-09-30,"Wolf Creek","TX","Dallas-Fort Worth","Dallas","Dallas",312,1255,0.00319744204636291,0.004,0.0278460278460278,8718
2016-09-30,"Mount Lebanon","PA","Pittsburgh","Allegheny","Pittsburgh",313,1818,-0.0146341463414634,-0.0375860243515087,-0.0319488817891374,10354
2016-09-30,"Greenwood","NY","New York","Kings","New York",314,2500,0.000800640512409928,-0.00635930047694754,0.0166734444896299,751
2016-09-30,"West Oak Lane","PA","Philadelphia","Philadelphia","Philadelphia",315,1388,0.000720980533525595,0.0183418928833456,0.0668716372021522,1674
2016-09-30,"Venice","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",316,5703,0.00246088943575321,0.0271974063400576,0.0563067234673088,5774
2016-09-30,"South Corona","CA","Riverside","Riverside","Corona",317,2537,0.00395726157499011,0.0103544404619673,0.0325600325600326,8141
