"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Central West End","Saint Louis","MO","St. Louis","Saint Louis City",228,,,,,,,,,253900,249900,253900,253900,252450,245000,230000,240950,250000,246354,220000,220000,239500,249900,249900,230000,249900,234500,215000,216500,218000,218000,229900,229900,224900,222400,214900,214900,214900,205000,213450,2e+05,215000,215000,219450,229450,230000,234950,229900,220000,215000,219000,219450,227400,224900,250000,250000,259450,294900,295000,285000,249900,289700,259450,249900,237000,230000,225000,224000,230000,230000,249900,249900,249900,252450,244500,250000,256000,280000,280000,285000,289950,295000
"Fishtown","Philadelphia","PA","Philadelphia","Philadelphia",229,174900,169700,179500,191450,189950,189900,190000,199000,189950,184950,184900,179900,179250,189450,186200,189450,190000,182400,169900,171900,173900,175000,169900,167450,167502,169900,157000,159900,169900,180000,179900,179000,179000,187450,195000,179900,186950,192400,189000,2e+05,209900,199945,2e+05,199900,209900,225000,229900,227450,225000,248000,244900,226250,240000,239900,236900,238500,225000,219000,220000,219950,225000,224950,231450,240000,243000,239450,238850,239375,234950,242450,249450,249000,247500,249000,242500,259900,259990,269000,275000,274900,265000
"Villages of Palm Beach Lakes","West Palm Beach","FL","Miami-Fort Lauderdale","Palm Beach",230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000,99500,104700,105900,112250,110000,110000,114900,119900,119700,119894,119000,118000,115000,115000,118000,117900,115000,115000,115000,115000,119900,119900,120000,120000,120000,120000,119000,119950,120000
"Capitol Hill","Denver","CO","Denver","Denver",231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212000,219000,232500,229900,227000,255000,277000,273950,272450,225000,234900,245500,257450,250000,279900,294500,299500,3e+05,290000,299000,3e+05,317450,325000,299000,299000,291250,297000,3e+05
"Playa Del Rey","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449000,447000,449000,513500,503500,529450,539000,534000,579000,566950,554000,499500,545000,530000,554000,549500,549000,599000,599450,599000
"Pioneer Park","Las Vegas","NV","Las Vegas","Clark",233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000,79900,82000,81950,79950,82000,79900,80000,80000,81900,84950,85000,85000,85000,89900,89900,84900,84900,85000,84200,85000,82000,83000,81950,85000,90000,95000,94900,98950,99000,99000,99500,109499.5,108777,107900
"Dupont Circle","Washington","DC","Washington","District of Columbia",234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,386850,389450,399900,429900,389900,449945,429000,429000,392000,397000,412000,399000,392277.5,399999,427400,421875,424900,386000,399000,386950,399900,409000,419450,385000,379000,399900,399000,369000,412000,449999,459000,431500,409450,399000,399450,424950,424900,399900,415000,419000,399555,377900
"Hillcrest","San Diego","CA","San Diego","San Diego",235,,,384500,392000,414500,399000,410000,379875,350000,364900,349700,331250,335000,339900,332500,335000,332000,308500,305000,333000,333000,335000,335000,335000,325000,318500,319000,319000,319000,299950,325000,357450,419700,421950,415000,384000,401450,403900,389450,379000,367500,417497.5,405000,390000,399998,375000,380000,392000,419900,424950,412450,399900,390000,425000,440000,477000,455000,459000,439000,448000,480000,488250,470000,468900,475000,474900,460000,466950,458375,439000,457500,446950,509000,482000,510000,529000,550000,525000,519000,547000,562450
"Downtown","Bellevue","WA","Seattle","King",236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,7e+05,712500,720000,637500,625000,649425,649900,650000,598885,625000,589000,598000
"Lincoln Park","Chicago","IL","Chicago","Cook",237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524950,489000,419000,4e+05,397000,397000,399000,439000,429900,415833,399900,449000,494500,459000,439000,467000,469000,486200,524000,506000,510000
"Wissinoming","Philadelphia","PA","Philadelphia","Philadelphia",238,90000,89900,89950,92000,89900,89900,89900,89950,94500,90000,89900,90000,89944,87900,89900,90000,89875,85000,84900,79900,79900,79900,79899.5,79875,84700,79994.5,79900,79900,79990,79900,79850,85000,88150,85000,89385,89900,89869,85000,79900,81000,85000,83200,84700,84900,84950,79999.5,79900,77500,74900,75000,79900,79900,79900,74950,79700,83700,84400,79900,79700,78000,79900,79949.5,81250,79900,79900,79900,79900,82000,80750,80999.5,79900,84500,84900,85000,85000,84500,84695,83395,81900,81499.5,81900
"Tacony","Philadelphia","PA","Philadelphia","Philadelphia",239,105000,112400,105000,116900,105000,109900,105000,112400,107400,102250,105000,109900,114900,111450,114900,114865.5,114865.5,114900,114446.5,109900,109900,109900,109873.5,107850,109350,109799.5,108900,109295,104900,104900,103000,98850,94945,99000,99900,99900,95500,94950,94900,94900,92450,94949.5,93900,89950,98261.5,98950,99675,99875,99900,99900,99900,98449.5,98950,99897,99500,99698.5,101200,104888,99949.5,99699.5,99500,99899,99900,108450,107000,108999.5,105249.5,105950,107900,105900,104900,104449.5,99949.5,99900,104500,95000,109900,105450,103000,1e+05,94950
"Corona del Mar","Newport Beach","CA","Los Angeles-Long Beach-Anaheim","Orange",240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289500,1249500,1250000,1095000,1225000,1235000,1250000,1249500,1332500,1295000,1359999,1325000,1395000,1397000,1287500,1350000,1322500,1322000,1350000,1350000,1359000,1350000,1399000,1385000,1390000,1300000,1297000,1299000,1425000,1437000,1399500,1485000,1495000,1450000,1477500,1477500,1450000,1512250,1580000,1565000,1495000,1524000,1499000,1550000,1549000,1495000
