"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Arlington Heights","Fort Worth","TX","Dallas-Fort Worth","Tarrant",478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277600,289000,289000,284499.5,279451,259900,289000,289000,284500,285000,329900,319900,322500,328750,327500,329000,339000,339000,349900,329500,324999.5,325000,344000,341950,314950,299000,299000,339000,319000,319900,339000
"Coral Ridge Country Club","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772385,698000,749500,725000,725000,747000,720000,699000,691500,667250,669000,727000,729000,727000,732450,699900,719000,699900,699900,785000,762000,724950,794900
"Campus Park","Bakersfield","CA","Bakersfield","Kern",480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244700,240000,230000,226500,219000,219000,229450,229900,232450,232450,239975,232500,222500,227475,238500,227495,222400,219250,217000
"Oceanway","Jacksonville","FL","Jacksonville","Duval",481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138990,141291,139900,145490,139990,145000,141990,143990,145490,159000,138900,134900,129900,129950,129950,129900,129900,139900,134450,134950,144900,152500,144999,144999,135000,138200,145950,149900,164900,162450,170000,170000,177000,169990,167400
"Binz","Houston","TX","Houston","Harris",482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495000,489000,492000,489000,489000,489000,495000,499000,499000,499000,499000,509900,527450,522450,519900,547000,525000,509000,527450,524900,549450,569900,554000,551500,561750,549000,539990,534000,509495,509000,529500,534000,525000,534000,564000,499450,499000,489000,487000
"Santa Clara","Eugene","OR","Eugene","Lane",483,224900,219900,222500,229000,229000,229900,226250,219900,214450,210000,199900,197000,170000,195200,179900,169000,159900,160000,165000,174500,169900,174800,176000,187000,188000,189900,179000,179000,189450,189950,198000,196000,199900,209900,205000,215000,227000,216500,221950,219900,219950,225000,225000,225000,224950,225000,228450,227900,223000,226900,227500,229000,228500,235000,235000,229900,224900,225000,227500,226750,237450,238450,239900,237450,249000,244950,244950,244900,239900,235000,234900,230000,229950,239000,259900,261250,265200,268450,262250,262500,259250
"Springs","East Hampton","NY","New York","Suffolk",484,575000,567000,575000,550000,599250,599000,599000,599250,635000,599000,595000,599000,599000,599000,599000,599000,599000,599000,642500,625000,650000,649000,649000,625000,625000,597000,599000,612000,599000,599000,595000,575000,575000,575000,625000,625000,625000,662500,675000,643500,669500,619000,697000,699000,712000,795000,795000,799000,849000,850000,810000,810000,772500,749500,749500,795000,750000,727000,697000,724500,692000,695000,699000,699000,715000,749000,750000,795000,772499.5,725000,724000,670000,692000,737000,749000,749000,765000,725000,729000,755000,729000
"South Pointe","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4299000,4199000,3595000,3899000,3799500,3920000,3972500,4450000,3950000,4297500,3995000,3999000,3840000,3600000,3597500,3447500,3400000,3287500,3197500,3200000,3300000,3249500
"Winfield","Crown Point","IN","Chicago","Lake",486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249899.5,248699.5,254900,259900,267450,264900,259900,264900,264900,267944,254450,210947.5,233450,215995,222471.5,249890,258900,249000,244900,242000,252400,241090,239000,241090,230000,241090,239900,267450,285000,286500,287500,289947.5
"Yarmouth Port","Yarmouth","MA","Cape Cod","Barnstable",487,345000,349000,386500,391750,387250,375000,369450,364450,377400,385000,387000,371950,377450,376950,370000,376950,365000,359000,365000,359000,362450,354450,359900,364450,349000,357000,357000,365000,349950,349825,349900,349500,354500,359000,359500,339000,349700,369900,389450,372450,359950,417400,417400,399499.5,409499.5,379900,414500,419500,419000,369900,416750,399900,399900,389000,398500,393750,399000,404000,398000,379000,389900,384900,374450,369000,399200,379000,376950,372000,369900,363000,358450,369000,382000,401950,419000,427450,439900,414500,439000,439000,399900
"CCSI (South Inglewood)","Nashville","TN","Nashville","Davidson",488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,362400,359900,359900,359900,345500,345500,347700,347900,354900,349900,349900,344900
"River Road","Eugene","OR","Eugene","Lane",489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204900,194000,190000,195500,199900,199000,194400,190000,189000,189000,189000,209000,209000,209000,199900,209900,214950,209900,205750,215000,207000,199000,208000,199900,225000,229900,219450,224250,224000,222500
"Sendera Ranch","Fort Worth","TX","Dallas-Fort Worth","Tarrant",490,119900,119900,124900,125000,129500,122500,122700,125000,132168,126250,125900,124900,126900,122950,118000,125000,125000,135945,134900,134900,137480,139947.5,140000,140775,134745,139900,134900,138000,137490,130990,123799,129270,127250,127990,132775,132775,132775,136995,138550,147550,149950,155990,150495,149450,149950,149990,151050,151050,156820,149990,151050,150274.5,150730,150550,149000,148450,147250,149990,154950,154900,155000,150000,150000,154900,160000,159450,158750,159900,165000,169900,186495,169995,178990,165000,176950,182445,183495,179000,184945,189900,185000
"Century West","Bend","OR","Bend","Deschutes",491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554950,535000,525000,529900,564990,554900,554900,549900,559000,549000,539000,522000,522000,524450,549000,575000,669950,650000,650000
"DUMBO","New York","NY","New York","Kings",492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3760512,3525000,3375000,3375000,3425000,3375000,3337500,3210000,3255000,3300000,3337500,3387500,3375000
"Summit West","Bend","OR","Bend","Deschutes",493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,454450,462000,462000,483750,483750,462000,465000,462000,465000,464950,465000,494450,494450,464900,489000,514500,524500,549000,569900,567450,609000,587000,620000,624950,599499.5,573450,598500,569900,599900,599000,580000,549000,582475,595000,615000,619000,619450,674950,689000,671950,675000,659950,665000
"The Strip","Las Vegas","NV","Las Vegas","Clark",494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395000,1370100,1375000,1375000,1172500,1124500,1099000,1074500,999500,999944,1e+06,1050000,999444,1050000,999000,999000,997444,1100000,1050000,1050000,1150000,1287500,1164444,1164444,1178888,1164444,1178888,975000,985000,985000
"Central Beach Alliance","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335000,1495900,1439300,1495900,1450000,1450000,1497450,1495900,1495000,1299900,1297450,1319860,1334930,1334930,1187500,1225000,1225000
"Ellerbe Woods","Shreveport","LA","Shreveport","Caddo",496,,,,,,,,,,,,,,269750,258600,265900,264900,258000,251900,240000,246000,246000,237450,229500,230000,229990,235000,244250,227000,225900,246900,230000,248500,249900,249500,252200,249900,249900,247000,247000,255000,252450,249900,249900,260950,242900,235450,243450,238450,237450,265500,252700,233000,235000,232450,232900,242200,237000,251150,262250,268000,276450,277500,270000,273625,279400,270000,269000,265000,267000,267000,280000,262900,270000,253500,249150,252400,269900,265000,265000,265000
"West Albany","Columbus","OH","Columbus","Franklin",497,,,179700,179700,179450,184300,179700,171400,169900,168900,169900,169900,169445,167990,165945,163990,169900,169900,173945,170600,166900,164900,164825,167400,166990,167990,165375,163900,164750,168900,173995,171450,169900,169900,175000,169900,177450,179400,184200,176450,179900,186000,189900,187400,179900,190261,187900,185900,179900,179900,189900,189900,185000,185000,193450,198750,197750,197000,198400,208900,210779.5,211451,211900,199650,199200,195150,201400,205000,212200,211950,216250,218000,217500,219900,219000,219900,219950,229900,229900,224700,229900
"Steele Creek","Charlotte","NC","Charlotte","Mecklenburg",498,149900,154900,154900,157900,155445,154900,146000,144900,141990,137990,130000,136200,134900,134900,132990,129900,129900,129900,128950,136000,124950,127900,119900,124900,119900,122900,115000,118750,120000,125000,117000,126400,128000,129900,140000,139950,143000,140950,145000,154950,153700,149900,152400,150000,150000,151200,157700,159900,156750,154900,159200,173000,170500,166450,167500,170000,168500,168400,166900,165900,160599.5,163950,172450,178000,177500,176250,179900,175000,183450,184900,184900,184900,195000,195000,188000,184949.5,189900,187000,189000,189000,188500
"Cedar Grove","Panama City","FL","Panama City","Bay",499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,129000,143250,143250,140000,149900,150950,159950,175000,175800,175000,167450,179900,174900,179000,174450,160000,179000,169450,199900,209900,183000,187000,189000,195000,180000,182500,172449.5,175000,176500,185900,172750,162000,159000,184900,187400,184950
"The Dominion","San Antonio","TX","San Antonio","Bexar",500,582000,489500,472500,475750,477000,494986,507500,521950,489972,489882,505258,510516,474500,512450,509900,512450,537500,535000,535000,530000,530000,575000,525000,484497.5,508499.5,525000,545000,522499.5,495000,471995,492000,489000,456997.5,489000,492499.5,489000,510000,492499.5,495000,492499.5,475000,476000,489999,489999,539950,539950,549900,549900,484990,489999,504995,510990,510990,495500,487400,482400,465025,453495,458445,449992.5,453970,459000,458495,479000,499000,499000,492995,499000,469000,466495,492950,497950,510000,457492.5,449747.5,449995,449990,465495,472000,467495,475450
"Lake Las Vegas","Henderson","NV","Las Vegas","Clark",501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399900,399999,385000,419000,435000,435000,379499.5,349000,386500,385000,394000,385000,390000,370995,385000,4e+05,409000,409000,379000,386000,389000,389500,410000,399000,428000,399900,399450,429950,399999,399900,399900,399995,415995,422000
"McClellan Park","Madison","WI","Madison","Dane",502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234950,242400,249900,234900,235000,245900,242500,246900,246900,247450,241900,241900,237400
"Stapleton","Denver","CO","Denver","Denver",503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419900,399900,407495,449945.5,417900,407995,403500,447500,422500,411495,418995,425495,449900,445000,439900,441698,440495,442000,463000,430000,439900,439950,472390.5,465085.5,490328.5,503495,499950,5e+05,488950,477000,488950,495000,481950,469900,494400,489250,522500,520000,499450,479950,456250,515000
"Clearwater Beach Association","Clearwater","FL","Tampa","Pinellas",504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779900,737000,714950,775000,879000,876950,880950,874900,849000,880950,919500,899000,919500
"Calico Ridge","Henderson","NV","Las Vegas","Clark",505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277445,277400,277400,257900,284900,291200,292400,297990,300490,297985,314990,290000,287950,284999.5,289900,299000,307990,294900,291995,279950,287962,285995,299000,303990,325000,329000,329450,324900,337000,326450,344190,330000,327900,339950,349900,349450
"Mars Hill","Indianapolis","IN","Indianapolis","Marion",506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69900,69900,79950,69900,69900,68499.5,69900,68999,72900,73500,78000,79000,78000,73700,71300,73700,80000,79950,78900,72000,73500,70100
"Alafaya","Orlando","FL","Orlando","Orange",506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,175000,179900,184950,185950,185000,185000,185000,184900,185000,184900,184900,184900,180000,176000,179900,185000,194900,195000,199000,2e+05,205000,199000,198900,199900,199900,199450,194950,209900,216000,223750,224999.5,224900,219900,216000
"Lake Balboa","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449475,449000,429000,449250,449000,449500,450000,450000,457000,441000,439900,442450,450000,469000,459000,464250,449000,509000,496000,504475,497450,489000,474900,494450,507444,525000,519000,519000,527450,525000,527000,539950,534450,539000,529000
"Edgewood","Indianapolis","IN","Indianapolis","Marion",506,124950,129000,118500,115000,119900,110000,109000,109950,109900,120500,124900,113000,123700,123700,118750,119900,122400,127000,120000,117450,117450,119900,117450,118900,117000,122900,119900,114900,104950,104899,104899,99900,105000,109900,104950,104950,109900,104900,109900,117450,114900,124900,119900,119900,119900,119900,117500,110000,109990,109945,109900,115000,124900,124900,119900,119400,118900,119900,99950,107000,107000,107000,114450,119700,118500,119700,129400,128450,129175,119175,126225,129950,119175,125000,129950,134900,133450,129000,129000,127900,123995
"Glenn's Valley","Indianapolis","IN","Indianapolis","Marion",506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140350,136200,140750,136200,138000,138700,139950,130000,136000,137000,146700,144900,144900,144900,140950,144900,144900,139900,139900,139800
"Valley Mills","Indianapolis","IN","Indianapolis","Marion",506,99900,99999,1e+05,99500,95249.5,96200,94900,97000,97000,94999,94900,92497.5,90000,90000,90000,91402,94838.5,95000,95000,91450,89900,89900,87500,87500,89900,89900,94000,94838.5,94000,90000,95550,93575,89900,89700,89900,89700,89900,89900,91450,96000,1e+05,105450,109250,103900,99850,101950,99900,99900,95000,95250,106000,109850,110900,113450,112000,109900,108947.5,109500,109850,107925,104900,104900,105000,109447.5,111000,110000,114900,112000,110000,110000,110000,108000,103000,104500,104900,109975,117250,117450,114900,118000,115000
"Eagle Creek","Indianapolis","IN","Indianapolis","Marion",506,122450,129900,129900,124900,122900,119900,120950,122000,123456,120000,119500,119900,130000,125000,125000,124900,124900,124825,118000,114900,114900,118000,119900,119900,124900,119950,121950,119000,122900,117700,117700,117900,110000,112500,113950,117500,115000,114950,115000,128500,127500,129400,124900,124900,124900,129950,125000,127450,129900,129200,129900,126900,124900,124900,125450,122900,124950,124900,125750,123200,124000,124950,125000,125000,124900,125000,126375,129900,125950,129900,139900,127000,139900,146200,156750,139400,131950,128700,127500,135500,135000
"Feltonville","Philadelphia","PA","Philadelphia","Philadelphia",506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63450,64887.5,64887.5,69900,59900,58900,58900,59900,59900,59900,65000,67700,65000,64249.5,64500,59900,59999.5,60000,60000,59999,62000,59999,59900,59900,59000,55000,54950,54950,54900,50000,50000,49950,55900,62000,70000,72499.5,73300,74900
"Haddington","Philadelphia","PA","Philadelphia","Philadelphia",506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,39500,41000,40000,41900,40000,40000,42000,44777,45000,44888.5,45000,45000,45000,46000,49900,49900,49999,50000,49900,45000,45000,45000,45000,45000,45000,45000,45000,47000,49900,49000,49900
"Summerdale","Philadelphia","PA","Philadelphia","Philadelphia",506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84900,81000,79950,81450,84900,82900,80000,80000,78000,80950,84900,89900,89950,94900,96000
