"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"North Hill","Spokane","WA","Spokane","Spokane",693,130000,132000,129900,134950,130000,125950,129900,129250,125000,127000,124900,124900,119000,111500,118700,110000,110000,111000,114000,116900,117500,119375,113500,114700,111750,112925,112700,110500,112900,118900,122950,117500,119900,120000,119900,118750,114900,110000,114900,124500,120000,124900,125500,129900,129900,129700,128000,126000,125000,125000,125000,125000,125450,129250,129250,120000,124900,127975,127925,125000,120500,124900,124500,124950,128250,129000,129900,127700,125000,125000,125000,129000,125000,124900,123000,129000,130000,138500,132900,130000,130000
"Ballston-Virginia Square","Arlington","VA","Washington","Arlington",694,399000,432000,425000,487000,449850,429000,449950,489000,445450,408500,430000,425000,375000,365000,424450,410000,412000,375000,411750,429000,429900,443000,435000,430000,424000,399000,404450,411000,413500,438950,444900,468500,489400,455450,488900,429945,449900,429990,434450,475000,425000,420000,429900,418000,426500,439900,429000,462250,419949.5,492000,499986,462450,449900,439900,429500,424250,424950,449990,476950,429000,432500,442300,467400,472000,449900,449000,375000,399000,399000,399450,399000,409900,405000,404499.5,409900,434450,437000,441999.5,435000,431500,443450
"Downtown","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349950,324900,350000,324900,293500,310000,325000,353000,350000,350000,357500,370950,362000,369900,359000,345000,370000,419500,445450,387000
"Turn of River","Stamford","CT","Stamford","Fairfield",696,481500,565000,571500,575000,569000,554500,539000,537500,537500,543000,539000,529000,510000,499999,504950,509000,509450,5e+05,499499.5,5e+05,499000,499450,499000,495000,490500,488500,499000,485000,479000,479000,479000,493750,479000,469999,471499.5,465000,499450,499000,502500,522000,525000,517000,514000,507000,525000,557000,525000,525000,523000,525000,499000,499000,5e+05,519000,499000,489900,499000,475000,450000,479000,499000,539000,539000,542000,545000,572447.5,569450,544450,529000,520000,524500,519000,519000,519000,539000,547000,557000,549000,535000,537000,539499.5
"South Beach","San Francisco","CA","San Francisco","San Francisco",697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1284000,1291500,1288000,1295000,1324500,1387000,1499000,1549000,1595000,1595000,1595000,1495000,1495000,1375000,1325000,1239000
"Southeast","Eugene","OR","Eugene","Lane",698,249900,271938,268938,275000,275000,259450,253300,249000,239000,239000,225000,232450,219250,224950,225000,215000,212000,217500,215000,224900,222450,229900,229900,227000,232000,229000,239000,241950,238750,238500,225000,244900,237000,243950,239900,259000,253700,250000,268000,259950,289000,284500,254500,256750,259000,275000,254950,259000,232450,259000,274900,268450,275000,284900,282450,269000,269450,266750,269900,267450,259900,264000,259900,256200,259000,254900,259900,269950,275000,279000,265488,262694,259900,274950,279000,299500,315000,312250,311000,299900,299450
"East Central","Spokane","WA","Spokane","Spokane",699,121200,119950,119900,119900,119925,124900,125000,130000,135000,130000,129500,125000,120000,125000,130000,119000,120000,119975,117450,114900,116500,118000,118000,118500,112000,110000,110000,110000,109000,110000,108200,109000,110000,112950,110000,113950,110000,109900,109950,109900,104000,109950,110000,119000,115000,109900,109000,99950,1e+05,1e+05,99900,104500,107000,117500,123900,120000,120000,124900,110325,107000,112500,119900,120000,125000,130000,134900,130000,125000,124200,114250,110000,110000,125000,125000,125000,125000,129900,129000,129950,129900,147449.5
"Central Weymouth","Weymouth","MA","Boston","Norfolk",700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319900,314950,309000,314900,314450,344900,349900,339900,329950,317500,317500,314250,325000,346000,349950,360000,379900,379000,360000
"Richmond","Portland","OR","Portland","Multnomah",701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420000,487000,492450,489000,484450,469000,482450,505000,495000,492500,475000,498750,474450,486950,525000,549900,549900,525000,505000
"Downtown","Houston","TX","Houston","Harris",702,215000,215000,215000,215250,216500,244900,245000,251045,257400,255000,245887.5,241472.5,250000,249990,235000,233450,239000,219999.5,219999.5,209900,220000,225000,242000,247450,249900,249900,249900,229900,239800,267200,269900,249700,249325,243200,248075,235000,257200,267500,274700,266850,259990,270000,259945,269950,290750,299900,299040,299040,325000,325000,330000,325000,305000,317500,318000,324997.5,322497.5,320000,329900,346755.5,334950,322000,329950,331450,330500,339000,337000,354977,350000,373000,375000,379990,354500,329992.5,325000,327495,335000,349000,352371.5,344950,329950
"Scott Park","Toledo","OH","Toledo","Lucas",702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39900,35900,38700,35450,36700,39900,39900,34900,39900,35000,39000,45000,40950,42500,48700,49900
"Power Ranch","Gilbert","AZ","Phoenix","Maricopa",704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229900,239250,239375,238450,235500,232900,234000,234900,239900,235000,234949.5,227500,230500,234750,229950,225000,234900,234950,245450,245000,250000,255000,250000,255000,251000,249450,249900,249000,251000,250000,255000,259999.5,259999,269800,261773.5,264950,260000
"La Sierra South","Riverside","CA","Riverside","Riverside",705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426524.5,425000,425000,419900,413990,398495,405495,375000,374000,364950,372500,375000,364900,369000,375000
"Driftwood","Hollywood","FL","Miami-Fort Lauderdale","Broward",706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,151500,157450,164949.5,163499.5,174900,179900,169900,166250,169995,170000,170000,171594,175000,169945,185000,174900,180000,185000,189900,194900,196450,191000,197900,192450,189900,192500,204950,218250,219000,221750,223900,229000,230000,229450
"Manayunk","Philadelphia","PA","Philadelphia","Philadelphia",707,232450,224900,249000,246950,244900,229900,219000,229000,239450,229900,218000,218000,224500,224900,224900,232450,243450,239000,249000,252400,239750,212450,225000,225000,229900,234900,234900,229450,239500,224949.5,219900,219900,214825,214200,229000,239000,229500,229500,249450,249000,265000,249900,259450,264900,266900,256500,249500,250000,250000,244450,240000,240000,240000,240000,239945,239945,239000,239000,239000,237000,247000,267500,250000,264950,255000,249950,249900,239900,229950,236950,239000,249000,249450,249900,250000,250000,255000,250000,250000,250000,249900
"Brookside","Tulsa","OK","Tulsa","Tulsa",708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275000,293499.5,299000,282500,299999.5,289999,288000,304949.5,309000,311500,317000,315000,315000,335000,332000,360000,379900,377000,399450,407000,399900
"Thalia","Virginia Beach","VA","Virginia Beach","Virginia Beach City",709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257350,267500,279900,284900,294900,289900,277500,269900,275000,260000,246999,247500,276250,273750,273750,283750,268750,250000,266500,279500,284950,270999.5,250000,250000,250000,250000,250000,242900,235000,241450,242900,257450,280000,289900,289900
"Highland, Stoner Hill","Shreveport","LA","Shreveport","Caddo",710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95400,95400,95900,95400,91000,92000,84950,84950,85000,85000,87250,85000,99900,104500,99000,99900,99450,110000,99900
"South Raleigh","Raleigh","NC","Raleigh","Wake",711,124000,129900,129999,134000,134450,131950,125000,126900,135900,129900,129900,125000,123900,114500,108000,104200,99909,99918,103250,104950,99943.5,104900,99923,99923,109900,109900,109900,1e+05,89950,1e+05,99994.5,99999,102900,103000,119900,119900,119900,121000,122000,122000,106990,106990,114900,114500,114450,113900,110000,110000,108800,110000,115000,126130,124450,129800,128500,128750,123990,127266.5,128500,127990,129495,143770,134450,132450,121250,129900,135000,136870,137400,146900,132450,129900,126000,127000,134900,136900,135000,139900,132000,139900,142500
"Del Rio","Jacksonville","FL","Jacksonville","Duval",712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,169990,169990,168500,168000,159950,160900,162000,159900,165375,164900,174900,175950,175450,179900,175000,175000,171000,174900,178900,175495,178400,179500,174700,182990,189995,189200,189745,196000,193970,188965,208945,209950,209900,2e+05
"Villages of Woodland Springs","Fort Worth","TX","Dallas-Fort Worth","Tarrant",713,166463.5,167056.5,172485,171397.5,170822.5,169000,165000,167900,172430,169685,168805.5,165990,169700,170000,167450,164945,167450,176990,174995,176666,171490,176342,175550,175000,170000,174990,171495,173990,173995,171500,171500,169875,168900,170950,175000,174000,174995,178750,179700,185732.5,194995,192995,182900,190990,199945,195295,194672.5,197000,192500,197020,198990,202720,199900,202990,195500,197000,210000,211990,215000,217450,219450,202990,219945,219945,223950,225000,219990,218900,218700,218747.5,221247.5,219900,239000,235950,234700,234950,237000,245500,248450,249900,249900
"Great Northwest","San Antonio","TX","San Antonio","Bexar",714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142450,139999.5,139900,139900,139000,149000,149900,154000,155000,146500,156950,158499.5,152000,150000
"East Islip","Islip","NY","New York","Suffolk",715,425000,414495,419000,382250,382450,399990,399000,399000,399990,396938,379000,389495,389495,399123,429000,424990,417490,399990,424999.5,399990,412499.5,412499.5,399990,399990,389990,386944,379000,379000,378000,379000,379000,379000,379000,379000,399000,399000,399990,404999.5,397000,399990,399900,399900,419000,399000,399900,399990,399990,399000,399000,399000,414000,419000,409000,404499.5,399999,399990,399999.5,390000,382500,380000,365000,361445,364500,379000,394000,412000,404499.5,415000,419495,389000,379990,379990,379995,380000,395000,375990,379990,394990,409990,399994.5,389000
"Speer","Denver","CO","Denver","Denver",716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344500,337250,315360,324900,335000,349925,375000,359900,350000,369000,376500,391500,380000,384500,384000,375000,377450,405000,407500,420000,415000,4e+05,4e+05,399500,380000,405000,405000,425000
"Westside Connection","Grand Rapids","MI","Grand Rapids","Kent",717,109900,119900,119900,119900,119900,119900,109950,112500,119900,114000,107888,109900,109900,109900,107900,109900,109900,109900,104900,104900,99900,99900,99900,94000,92900,99900,99900,99900,99950,1e+05,1e+05,105000,105000,1e+05,104900,109900,109950,119900,119900,118700,119900,124900,128749.5,122900,119900,124900,128700,125000,120000,119900,119900,124400,126900,124900,124900,124450,124900,124900,119900,118000,118400,124950,137000,133950,129500,130000,135000,135000,136250,136250,144900,144600,143998,131750,134200,140000,144900,154400,159900,149900,159900
"Northwest Akron","Akron","OH","Akron","Summit",718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,125000,129900,129900,128900,124500,129900,129900,129900,134000,129500,129900,129900,125900,129900,138775,129900,129900,129900,123900,124500,124500,121900,119900,110935,114900,129000,131400,131400,133450,131400,132000,136750,139700,135450,129900,129900,129900,129900,132000,144900,139900,139900,144900,144750,144900
"Edgewater","Chicago","IL","Chicago","Cook",719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269950,279000,285000,285000,275000,275000,275000,277000,269900,275000,264900,240000,279900,329500,350000,310000,304500,297000,299000
"Greater Eastwood","Houston","TX","Houston","Harris",720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287499.5,297000,286250,260000,279000,249950,279000,279450,299900,3e+05,284500,278000,269925,269900,263900
"Lower East Side","Milwaukee","WI","Milwaukee","Milwaukee",721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e+05,197450,186500,193000,179000,199999,184500,184500,203900,209950,212400,2e+05,214900,213700,209900,204900,209900,214900,214795,214900,219250,222200,224950,219900,214949.5,214900,214949.5,202950,227450,229897.5,225000,224500,206950,220700,229800,229850,229850,234450,209900,205000,206950,215000,224900,224400,224900,223900
"Rosebank","New York","NY","New York","Richmond",722,,,,,,,,,,,,,,,275000,299000,299000,299450,314950,309000,312500,329000,325000,329900,345000,345000,339000,318000,319000,310000,299999,309950,309000,299999,338500,329000,324900,324900,334900,335000,349900,349000,349000,346750,344500,343950,334400,327250,349000,344500,330000,342450,369000,359900,369900,372000,417000,409000,379000,376500,366500,329000,329000,359000,379000,374000,366450,364900,339900,329000,324900,369000,369000,350000,345000,350000,385000,389900,397450,429000,409500
"Pine Point","Springfield","MA","Springfield","Hampden",723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110950,106900,115000,110000,107000,109000,109000,109000,105000,110400,119900,118900,119825,119375,114900,115000,114900,114900,114900,114900,111250,110000,109900,107000,105900,108000,105000,107400,99900,99900,102400,102400,99900,102450,109900,114900,122400,114900,109900
"Buena Park","Chicago","IL","Chicago","Cook",724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229900,233950,238400,242000,238400,229000,229450,230900,232000,229000,225000,219500,210000,209900,2e+05,229900,239900,249900,249900,249900,239450,225750,224900,224900,224900,229950,231950,239900,238900,225500,219900,215000,218000,219450,210900
"Drake","Des Moines","IA","Des Moines","Polk",725,,,,,,,,,,,,,,,,,,,,,,,,,,,,87500,85500,90000,105000,93000,89250,89900,99000,101500,101450,106750,107500,105500,107500,109900,114000,111700,112500,111000,112000,109950,115000,109950,109900,109900,116000,115000,115000,109900,99900,109700,106500,108900,104950,99700,104900,104900,109900,115000,114750,115250,123000,121500,119950,119950,122900,123950,110000,106000,108500,120000,122900,124950,127900
"Union Park","Orlando","FL","Orlando","Orange",726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,127500,124950,129000,129450,144900,149900,126300,119900,125000,127600,124900,124900,127450,137450,141000,149900,149250,154000,150000,159900,150000,148950,147660,147000,148000,154999.5,168200,167450,172900,180000,179900
"Arlington","Riverside","CA","Riverside","Riverside",727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264995,254800,246642,234900,254945,299888,289995,298000,294990,296500,280000,299900,299900,304950
"River Mountain","Henderson","NV","Las Vegas","Clark",728,119450,119950,124900,124900,120000,119900,121900,124900,124990,128900,119950,99900,98900,99000,89950,99900,95200,98900,94500,108000,109500,99900,99000,97588.5,99900,104888,109000,109900,118000,119900,118000,119900,122000,125000,132000,130000,129050,132000,132250,132250,132000,149900,145000,159900,161900,161900,170000,169000,164900,169950,177500,174750,169975,175000,175000,175000,179900,194950,190000,195000,191000,199949.5,192950,192000,204950,198250,199949.5,215950,216900,211200,206450,2e+05,214900,199000,2e+05,205000,232500,230000,229888,225000,224950
"Aurora Highlands","Aurora","CO","Denver","Arapahoe",728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184950,172000,185750,186000,199900,199900,199900,199950,189000,184987.5,199900,212450,217450,215000,210000,225000,222000,230000,235000,235000,239975,250000,249950,252000,259900,260000,259950,259900,265000,265000,269000,283900,284400,282999.5,284900
