"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Columbus Circle","New York","NY","New York","New York",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66355914174568,5.67983367983368,5.66909090909091,5.62577962577963,5.61330561330561,5.60861423220974,5.67515111546103,5.6337559546221,5.67895104514823,5.65038797125411,5.61954261954262,5.60908985908986,5.6337559546221,5.62577962577963,5.6337559546221,5.60706860706861,5.62577962577963,5.579476861167,5.61330561330561,5.64486614173228,5.63779527559055,5.6632198601564,5.67983367983368,5.67895104514823,5.64173228346457,5.63107163107163,5.67380921792195
"Streeterville","Chicago","IL","Chicago","Cook",22,2.23664167324388,2.23756906077348,2.23275862068966,2.26371951219512,2.28754052460949,2.35655058043118,2.33941093969144,2.38959305849452,2.439585859947,2.45387453874539,2.44546371502893,2.44160575592235,2.4485409015025,2.49634607218684,2.53867791842475,2.58333333333333,2.55865384615385,2.54310344827586,2.56410256410256,2.61811868686869,2.55965959328028,2.5736171969264,2.53893129770992,2.58333333333333,2.60703463203463,2.65446787148594,2.69151138716356,2.72727272727273,2.77145438121048,2.76046296296296,2.7037037037037,2.6339208410637,2.64285714285714,2.6307112429001,2.65961538461538,2.6549815498155,2.70694797621551,2.76103561352994,2.79963235294118,2.85110294117647,2.94280442804428,3.05606244931062,2.93946319737459,3.03339882121807,2.94833948339483,2.76794871794872,2.78740157480315,2.83506944444444,3.01851851851852,2.99166666666667,2.92972709551657,2.92081031307551,2.88512241054614,2.83007518796992,2.76582181259601,2.73,2.73921591038976,2.76652892561983,2.79530701557016,2.83394833948339,2.93910256410256,2.89806943728891,2.89814814814815,2.83007518796992,2.92000017464351,2.79998347046724,2.83170426065163,2.81517356840235
"Midtown","New York","NY","New York","New York",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.52202913430836,5.54939640305494,5.64459930313589,5.63709677419355,5.55555555555556,5.46315789473684,5.54939640305494,5.54939640305494,5.45282183267027,5.46315789473684,5.50319757264558,5.45998426298304,5.54323725055432,5.36180036452565
"Gold Coast","Chicago","IL","Chicago","Cook",24,,,,,,,,,,,,,,,,2.53387902676328,2.53387902676328,2.5213549985537,2.5290770062757,2.53861003861004,2.51968503937008,2.53861003861004,2.53861003861004,2.63144242540245,2.43822393822394,2.61670235546039,2.52316602316602,2.60038990058675,2.57915057915058,2.54651162790698,2.57303985650442,2.57915057915058,2.52316602316602,2.47751605995717,2.57915057915058,2.6001968503937,2.61445353993492,2.59550321199143,2.58880308880309,2.51930501930502,2.53811932443217,2.60629921259843,2.66338582677165,2.66338582677165,2.62919360987698,2.64618249534451,2.64618249534451,2.6003937007874,2.60629921259843,2.52316602316602,2.55549384180669,2.55791505791506,2.60629921259843,2.55791505791506,2.57915057915058,2.55032119914347,2.52316602316602,2.5516969124209,2.55791505791506,2.57915057915058,2.5590405904059,2.55307262569832,2.51930501930502,2.52123552123552,2.55307262569832,2.56853281853282,2.58457528957529,2.57915057915058
"Northwest","Portland","OR","Portland","Multnomah",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56626506024096,2.59686888454012,2.74072350920644,2.66666666666667,2.61396103896104,2.52984245480875,2.625,2.57647058823529,2.59439967767929,2.6125,2.6025641025641,2.55,2.53671328671329,2.575,2.63445247933884,2.7716950380297
"Lincoln Park","Chicago","IL","Chicago","Cook",26,,,,,,,,,,,,,,,,,,,,,,,,,,2.88548387096774,2.93684210526316,2.88548387096774,3.2375,3.13769751693002,3.04160443116754,2.99936800288913,2.97619047619048,2.95386904761905,3.01282051282051,3.01282051282051,2.93154761904762,2.66666666666667,2.84090909090909,2.93154761904762,2.95386904761905,2.93154761904762,2.99450549450549,3.06222120178431,2.97619047619048,3.01282051282051,2.97619047619048,3.02724358974359,2.97619047619048,2.86319648093842,2.92410714285714,2.93154761904762,2.93154761904762,2.91666666666667,2.57794117647059,2.55620232838218,2.80967741935484,2.72442015462543,2.8,2.88548387096774,2.88559907834101,2.84090909090909,2.86319648093842,2.87433628318584,2.86319648093842,3.01282051282051,2.83451704545455,2.94885073260073
"Old Town","Chicago","IL","Chicago","Cook",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,2.89,2.87311178247734,2.91666666666667,2.87,2.865,2.79,2.78095238095238,3.04,2.79,2.94861963190184,2.9478527607362,2.95092024539877,2.99219968798752,2.93333333333333,3.01,2.91666666666667,2.95,2.84,2.68901098901099,2.66498316498317,2.78923076923077,2.77142857142857,2.78547619047619,2.805,2.81428571428571,2.78547619047619,2.69935064935065
"Hunters Point","New York","NY","New York","Queens",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51515151515152,4.51010101010101,4.51515151515152,4.50389321468298,4.5532319391635,4.56362160224373,4.54070981210856,4.54070981210856,4.5615866388309,4.54070981210856,4.5353982300885,4.5353982300885,4.50404655069969,4.51515151515152,4.49665391969407,4.51626301626302,4.55263157894737,4.51626301626302,4.56966637224988,4.51960784313725,4.51285406851626,4.54070981210856,4.50404655069969
"The Loop","Chicago","IL","Chicago","Cook",29,,,,,,,,,,2.65740740740741,2.65,2.6280487804878,2.6280487804878,2.65961827597728,2.66564417177914,2.72339030206677,2.68141290726817,2.70363636363636,2.78739697802198,2.84440842787682,2.83333333333333,2.7569018404908,2.73267326732673,2.79605263157895,2.79658564814815,2.78703703703704,2.85841349976149,2.86184210526316,2.87576687116564,2.90692456259941,2.85616438356164,2.84539473684211,2.84859197854443,2.86184210526316,2.86596736596737,2.85968028419183,2.79850746268657,2.7911714770798,2.81997863247863,2.84057979199553,2.86117373461858,2.92090395480226,2.92101716225869,2.96934865900383,2.90536607341716,2.87491351077079,2.83536585365854,2.90230905861457,2.89873417721519,2.90562613430127,2.93250444049734,2.96934865900383,2.94098360655738,2.96422487223169,2.81423611111111,2.80295566502463,2.84014209591474,2.97049180327869,2.95179390585235,2.9449378330373,2.93607954545455,2.93896748207093,2.93176946162798,2.90901567672225,2.88532763532764,2.94561933534743,2.97413793103448,2.79642607467435
"Downtown","New York","NY","New York","Kings",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3727634194831,5.61037234042553,5.35873599003736,5.30467679360729,5.32363636363636,5.10669362084456,5.25238853503185,5.31809145129225,5.00533049040512,5.07487520798669,5.05467196819085,5.05467196819085,5,5.08830060572239,5.12250830564784,5.06727425707925,5.06018544602828,5.02557340538487,5,4.98579052489181,4.96041808942273,5.10526315789474,5.11904761904762,5.05467196819085,5.25394045534151,5.20833333333333
"Belltown","Seattle","WA","Seattle","King",31,,,,,,,,,,,,,,2.47740963855422,2.29045628761208,2.45588756956338,2.57189421242315,2.44210526315789,2.75581395348837,2.5159123343527,2.37058823529412,2.42,2.67220902612827,2.63444302176697,2.65272148233932,2.65591397849462,2.7625,2.62597560051527,2.70321361058601,3.06387665198238,2.95008768571172,2.94432548179872,2.61603773584906,2.6,2.64650283553875,2.62096069868996,2.61818181818182,2.64676086089646,2.73333333333333,2.91860465116279,3.06763285024155,3.04893270419054,3.04998231497038,3.04899030130821,3.05620666517558,3.04182509505703,3.18965517241379,3.08855960635205,3.19637284007003,3.23005565862709,3.28860759493671,3.24606976574304,3.20535881318517,3.23105360443623,3.07528957528958,3.23585297666128,3.18965517241379,3.15927665065596,3.00216160497246,3.04705882352941,3.12181223613246,3.20304401907263,3.18965517241379,3.24298590707634,3.41756272401434,3.2441113490364,3.32846744126408,3.3078178645804
"River North","Chicago","IL","Chicago","Cook",32,,,2.53488372093023,2.58139534883721,2.63010335917313,2.62449799196787,2.75581395348837,2.76813576980548,2.77615804848439,2.76523353527458,2.75581395348837,2.72735989646653,2.76302521008403,2.785140562249,2.79651162790698,2.87405629955613,2.91353996737357,2.95542635658915,2.93672148665225,2.86046511627907,2.85353064553717,2.89559543230016,2.91860465116279,2.9437984496124,2.97520661157025,3.04628099173554,3.05454545454545,3.08139534883721,3.08139534883721,3.10077519379845,3.07142857142857,3.04241435562806,3.02325581395349,3.002,2.99598393574297,3.02325581395349,3.02325581395349,3.0695102685624,3.12581812127267,3.11842105263158,3.13302034428795,3.10806473641082,3.08948099173554,3.10915939051532,3.10526315789474,3.05208455475213,3.08610567514677,3.18636464180054,3.17781402936378,3.45356037151703,3.27307692307692,3.33106575963719,3.30321285140562,3.31878557874763,3.16528925619835,3.19274809160305,3.15540540540541,3.09678032537591,3.07707509881423,3.10109422550395,3.21077283372365,3.17781402936378,3.21592966840358,3.05823293172691,3.08139534883721,3.16528925619835,3.16528925619835,3.08139534883721
"West Loop Gate","Chicago","IL","Chicago","Cook",33,,,,,,,,,,,2.53496503496504,2.4241935483871,2.42931034482759,2.40954550399826,2.35507246376812,2.41715399610136,2.38840579710145,2.43047788717837,2.50133360274803,2.5223873175001,2.55015066724064,2.61480873346942,2.6043956043956,2.69139966273187,2.624,2.61382799325464,2.63069139966273,2.68559764914097,2.68128161888702,2.69814502529511,2.71287128712871,2.72318339100346,2.68802698145025,2.63937621832359,2.70942071819122,2.69054814419047,2.70942071819122,2.64356435643564,2.63069139966273,2.67368421052632,2.77070063694268,2.80546745343906,2.77464788732394,2.79034810126582,2.71647509578544,2.72254496338949,2.73267326732673,2.73267326732673,2.72344013490725,2.70972400781393,2.77070063694268,2.76936591301325,2.75247524752475,2.77070063694268,2.77777777777778,2.78073089700997,2.77070063694268,2.75426530542328,2.71287128712871,2.72569444444444,2.73267326732673,2.72277227722772,2.69306930693069,2.74734607218684,2.71574344023324,2.73267326732673,2.75828460038986,2.74000966975678
"New Eastside","Chicago","IL","Chicago","Cook",34,2.68135095447871,2.68921386340783,2.68826619964974,2.68701122023603,2.70283804035162,2.72845528455285,2.72334663368661,2.72674953369499,2.73673943576494,2.72922764227642,2.73351220618245,2.75471698113208,2.72504378283713,2.79674796747967,2.85789473684211,2.89699184888084,2.90526315789474,2.93333333333333,2.93333333333333,3.01572028281043,2.97029702970297,2.92881709223554,2.92079207920792,2.97938144329897,2.97938144329897,3.04028021015762,3.04896694214876,3.07933884297521,3.15565345080764,3.15702479338843,3.11900826446281,2.98447747267395,3.08346153846154,3.09,3.07692307692308,3.0903436276642,3.03225806451613,3.03499695678637,3.01014080646819,3.12481644640235,3.14129508255435,3.10377358490566,3.16588390917586,3.07434944237918,2.99083969465649,3.05726872246696,3.04327439127733,3.01643887554841,3.12479201331115,3.12126245847176,3.03908794788274,3.03092783505155,3.03032781521952,3.10500982582712,3.07053941908714,3.05429071803853,3.01636363636364,2.89714285714286,2.87345132743363,2.9168253128856,3.04093567251462,2.99186991869919,2.97886178861789,3.16782938443502,3.09359483614697,3.15702479338843,3.13184931506849,3.10428610931883
"Fulton River District","Chicago","IL","Chicago","Cook",35,,,,,,,,,,,,2.69726247987118,2.67867488407024,2.74561403508772,2.78197002274781,2.67573946944656,2.76026272577997,2.7814052749323,2.80131362889984,2.75666074600355,2.75771497596542,2.78981937602627,2.80201342281879,2.77563025210084,2.91712081248465,2.8231500926142,2.79964221824687,2.94059405940594,2.86459129106188,2.88420266849415,3,2.95716639209226,2.94745484400657,2.89256198347107,2.84014209591474,2.90268456375839,2.90512379448424,2.91051228183581,2.9407800350697,2.99159663865546,3.02280426691286,3.02280426691286,3.0479704797048,3.02841918294849,3.01245551601424,3.02397868561279,2.97513321492007,3.03953871499176,2.96470588235294,2.84466019417476,2.87394957983193,2.92311081196843,2.98899082568807,2.99159663865546,3.07967479674797,3.06513117754728,3.03671328671329,2.87083631915787,2.86888111888112,2.86902837306063,2.92019814914923,2.89602120914264,2.91778688411114,2.93456375838926,2.95906040268456,3.07445334731167,3,2.9670510708402
"Rittenhouse","Philadelphia","PA","Philadelphia","Philadelphia",36,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,2.77093596059113,2.7,2.55555555555556,2.7,3.1410536159601,2.81128404669261,3.0875,3.12219451371571,3.00171526586621,2.80109489051095,2.91666666666667,2.89156626506024,3.07278444825615,3.08924485125858,3.05495495495496,2.9875,2.91791044776119,2.8,3.1125,2.90674044265594,3.10610972568579,3.11221945137157,3.07990712424963,3.10498220640569,3.10551558752998,3.12678571428571,3.07797951582868,2.91666666666667,3.04857413448385,3.02949061662198,3.125,3.0634328358209,3.09051621363853,2.91161290322581,3.16626506024096,3.02130863770123,3.16664384811975,3.26650943396226,3.11578947368421,2.99438202247191,3.06944444444444
"Washington Square","Philadelphia","PA","Philadelphia","Philadelphia",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00862068965517,3.07692307692308,2.96875,2.921875,2.71428571428571,2.85428571428571,2.9842039800995,3,3.0109375,3.05260416666667,3.18306010928962,3.18306010928962,3.1824391455539,3.1055900621118,3.16088544043816
