"RegionName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Charlotte, NC",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6921768707483,1.71848013816926,1.78709287443852,1.76542470295986,1.80788177339901,1.83441688624126,1.87817258883249,1.89762611275964,1.89387823328857,1.89412555637982,1.91741365260453,1.89756097560976,1.9629057187017,1.9421875,1.92953020134228,1.88644688644689,1.98165137614679,1.93157228725087,2,1.93548387096774,1.99664429530201,1.95321263007748,1.93548387096774
"San Antonio, TX",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67209302325581,1.69100775193798,1.62558139534884,1.49190476190476,1.40848225432495,1.39047619047619,1.3843828320802,1.49375,1.43776709401709,1.52813264317801,1.47619047619048,1.40681818181818,1.39325842696629,1.47969939449804,1.50284090909091,1.5,1.53789004457652,1.5060736677116,1.27777777777778,1.48393574297189,1.34991974317817
"Orlando, FL",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82503556187767,1.72068965517241,1.72520190895742,1.8291844476055,1.79095153401512,1.79230769230769,1.82207977207977,1.8354381841796,1.93495187071326,1.76666666666667,1.72068965517241,1.71685205784205,1.79230769230769,1.85337961888439,1.94855160662123,1.85707569346497,1.87319884726225,1.88775919732441,1.89969604863222,1.90205371248025,1.90161527165932,1.92051282051282,2.0049786628734,1.91607396870555
"Kansas City, MO",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09799801078871,1.08421052631579,1.08377192982456,1.08687258687259,1.16306575767825,1.11933687674007,1.21052631578947,1.18721461187215,1.03850806451613,1,1,1.10063680267665,1.14285714285714,1.12278132118451,1.17312072892939,1.118,1.22885391444713,1.35555555555556,1.20056497175141,1.31216166110493,1.35555555555556,1.35555555555556,1.22928897586432,1.31397849462366,1.25,1.46185307535001,1.44292894708647,1.4,1.29983766233766,1.22222222222222,1.36871722027972,1.43636363636364,1.2865090403338
"Indianapolis, IN",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36274509803922,1.36219879518072,1.28666666666667,1.30042838018742,1.36219879518072,1.375,1.375,1.36416666666667,1.37,1.32,1.35333333333333,1.37555555555556
"San Jose, CA",25,,,,,,,,,,2.7,2.69166666666667,2.57142857142857,2.75128865979381,2.78461538461538,2.84835164835165,2.84510869565217,2.89706825202541,2.99666666666667,2.99666666666667,2.85870243293824,3.11833559698728,3.23671536796537,2.9875,2.9875,3.02222222222222,2.9972762508809,3.1,2.90052356020942,2.86092715231788,2.84285714285714,3.15604395604396,3.28958988380041,3.42410015649452,3.17357512953368,3.17357512953368,3.23461328976035,3.2089552238806,3.21691176470588,3.28819535126665,3.35492227979275,3.47046843177189,3.42118967988533,3.67364746945899,3.73214285714286,3.73134328358209,3.68045112781955,3.69334702907712,3.68188512518409,3.73134328358209,3.86535324159455,3.94548872180451,3.92857142857143,3.99,4.1453488372093,4.14615414833438,4.17692567567568,4.11139311900733,4.13703360131931,4.21476964769648,4.25,4.23037716615698,4.19,4.17837176525858,4.15869851828311,4.13232104121475,4.12741767253433,4.26966292134831,4.1475,4.0188679245283
"Austin, TX",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81067655935614,1.77835051546392,1.85185185185185,1.86428571428571,1.85185185185185,1.72749391727494,1.77,1.7375,1.78571428571429,1.86973039215686,1.94397594195519,2.0504137630662,2.0451467268623,1.95588235294118,1.88961038961039,1.93603307254623,2.16666666666667,1.92692490494297,1.96839736933195,2.00023680544807,1.9625,2.01593137254902,2,2,2,1.91055585732392,2.15608465608466,2,2.18593091442184,2.20268006700167,2.23309270516717,2.27909667106038,2.31884057971015,2.3125,2.31886910875271,2.3125,2.29468599033816,2.16049382716049,2.11650723950495
"Virginia Beach, VA",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40179127725857,1.2375,1.25833333333333,1.43383455779546,1.61413326392504,1.61061946902655,1.61413326392504,1.61151079136691,1.7,1.56233421750663,1.61151079136691,1.62300975860298,1.71547750177375,1.71364985163205
"Oklahoma City, OK",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01279317697228,1.01279317697228,1.01279317697228,1.06609808102345,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.06609808102345,1.23093900481541,1.25,1.21187800963082,1.21187800963082,1.24398073836276,1.21187800963082,1.32380952380952,1.2758493846977,1.28250401284109,1.38952380952381,1.41332263242376,1.41464920390653,1.32761904761905,1.20866773675762,1.25200642054575,1.29774307245925
"Stamford, CT",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19298245614035,2.1,2.125,2.28531855955679,2.43589743589744,2.37987588652482,2.42382271468144,2.47340425531915,2.30625,2.25,2.37479548573238,2.27272727272727,2.3125,2.3,2.36521276595745,2.09347826086957,2.18333333333333,2.33333333333333,2.55245944531659,2.5,2.55141843971631,2.47695035460993,2.5,2.5,2.5,2.72511848341232,2.72511848341232,2.71537309452001,2.77583187390543,2.77583187390543,2.77583187390543,2.75633698958429,2.65877602646429,2.54901960784314,2.80030441400304,2.55555555555556
"Albuquerque, NM",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33488977675142,1.28101503759399,1.29440789473684,1.29440789473684,1.27631578947368,1.36093429584059,1.33053221288515,1.38754888734448,1.31403118040089,1.29517348493729,1.35574837310195,1.32222222222222,1.36612021857923,1.35140997830803,1.33195498915401,1.28834355828221,1.38752783964365,1.38752783964365,1.39825269787669,1.37682402911144,1.34097109559659,1.36612021857923,1.38126391982183,1.33053221288515,1.26486748545572,1.27906976744186,1.3125
