"RegionName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Roanoke, VA",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.883116883116883,0.868055555555556,0.857142857142857,0.856401384083045,0.857333333333333,0.833333333333333,0.827493526961612,0.857142857142857,0.9004329004329,0.909583374372107,0.816527777777778,0.910075839653304,0.901132852729145,0.949367088607595
"Lincoln, NE",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.799414603985081,0.807600950118765,0.828729281767956,0.821064552661382,0.816143497757848,0.828729281767956,0.839932712215321,0.840579710144927,0.855425860052167,0.857115428338779,0.895618556701031,0.891136801541426,0.879765395894428,0.894994302946191,0.885946330073432,0.907041392324077,0.893316195372751,0.898617511520737,0.868932038834951,0.880401172569388,0.927536231884058,0.92005076142132,0.901084010840108,0.92005076142132,0.920416327212717,0.926395939086294,0.93477999679607,0.90732759754782,0.895964125560538,0.923312883435583,0.909090909090909
"Fort Collins, CO",127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38202247191011,1.37078651685393,1.35,1.387171561051,1.33093525179856,1.30494590417311,1.3515766582095,1.33057851239669,1.33397612488522,1.35714285714286,1.38830715532286,1.39090028563974,1.35883211678832,1.4,1.40449438202247,1.36181818181818,1.30442477876106,1.34893992932862,1.30235602094241,1.36487716105551,1.35705669481303
"Columbus, GA",128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765533773466271,0.680222436120803,0.653120464441219,0.614938828074694,0.592456860355453,0.585748792270531,0.642857142857143,0.645833333333333,0.662559241706161,0.669166954718285,0.671271391260281,0.651130911583276,0.663021189336979,0.660710268811157,0.662559241706161,0.690737833594976,0.678869621066153,0.66,0.678869621066153,0.652951699463327,0.685443722943723,0.678175092478422,0.670974155069582,0.65,0.65,0.647916831370069,0.651130911583276,0.642857142857143,0.639802631578947,0.627380403340446,0.641806722689076,0.666209105467856,0.670974155069582,0.676470588235294,0.644906033630069,0.65,0.662559241706161,0.609819759939573,0.606375092661231,0.603514132925898,0.624798776561494,0.606375092661231
"Boulder, CO",129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60203385203385,1.5,1.5257048092869,1.5,1.52579365079365,1.66929547844374,1.67647058823529,1.62933333333333,1.7386684472739,1.77374048674909,1.72727272727273,1.74500077202216,1.83684950773558,1.7882960704607,1.87741935483871,1.87910113649409,1.84318377911993,1.84065040650406,1.76470588235294,1.84714717101081,1.82051282051282,1.83623755180906,1.78709677419355,1.72586872586873,1.78679504814305,1.76785714285714,1.83974358974359,1.92520325203252,1.93502204801568,2.00623335306304,1.99375,1.88679245283019,1.89282051282051,1.81709090909091
"Lubbock, TX",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.910056551905812,0.9125,0.848024039337097,0.839416058394161,0.822352941176471,0.793394428152493,0.777743902439024,0.751633986928105,0.774147727272727,0.788571428571429,0.774977841733386,0.761245674740484,0.759433962264151,0.77607946856932,0.752557427202495,0.86659125188537,0.817843866171004,0.809170600134862
"Fort Smith, AR",131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.488771466314399,0.488771466314399,0.486666666666667,0.486666666666667,0.52,0.538311688311688,0.540909090909091,0.554821664464993,0.537087912087912,0.531915726817043,0.53125,0.582437275985663,0.576208178438662,0.631818181818182,0.611111111111111,0.570063694267516,0.555555555555556,0.535714285714286,0.570063694267516,0.576698513800425,0.570063694267516,0.555555555555556,0.555555555555556,0.53544124071647,0.593803470056768,0.550206327372765,0.558823529411765,0.566176470588235
"New London, CT",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.921785714285714,0.870718462823726,0.87991718426501,0.930294486215539,0.981060606060606,0.962121212121212,1.04166666666667,1.02439024390244,1,1.02,0.980392156862745,1.01551558123249,1.01744186046512,1,0.921724333522405,0.916666666666667,0.948529411764706,0.944584382871537,0.9375,0.989130434782609,1,1.04166666666667,1.0525974025974,1.03260869565217,1.05519480519481,1.0625,1.08333333333333,1.08333333333333,1.03571428571429,1.05222222222222,1.07052896725441,1.08333333333333,1.08333333333333,1.08333333333333,1.03260869565217,1.04451754385965,1.05128161312372,1.06271043771044,1.01494945804409
"Gainesville, FL",133,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723997709049255,0.71875,0.738007380073801,0.772105588207626,0.773124941369367,0.764782128672411,0.704145621355196,0.662251655629139,0.727777777777778,0.738007380073801,0.827142857142857,0.892857142857143,0.905783696134765,0.819373401534527,0.825549450549451,0.840214308225654,0.868055555555556,0.868055555555556,0.879396984924623,0.845070422535211,0.825154745529574,0.843454790823212,0.82230869001297,0.871527777777778,0.853658536585366,0.867912075298439,0.892857142857143,0.89039039039039,0.898318804483188,0.906818181818182,0.925925925925926,0.953548387096774,0.945626477541371,0.955518945634267,0.981981981981982,0.964887640449438,0.983772819472617,0.975334018499486,0.974254966887417,0.966306420851875,0.987590486039297,0.949098621420997,0.915287162162162,0.862745098039216,0.862189019563496
"Cedar Rapids, IA",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83665008291874,0.815952289832887,0.807228915662651,0.86,0.831692913385827,0.786458333333333,0.791666666666667,0.801573426573427,0.823255813953488,0.823255813953488,0.821428571428571,0.833333333333333,0.805952380952381,0.83,0.833333333333333,0.83974358974359,0.818654539417513,0.785714285714286,0.784097300337458,0.785714285714286,0.786248789205856,0.808333333333333,0.815384615384615,0.841059602649007,0.808333333333333,0.827597760958688,0.824404761904762,0.791086321381142,0.786758383490972,0.790919654714475,0.76,0.763722952343024,0.808333333333333,0.816666666666667,0.81592039800995,0.791666666666667,0.74733118520594,0.791666666666667,0.766129032258065,0.75,0.76
"Wilmington, NC",135,,,,,,,,,,,,,,,,,,,,,,,,,,,0.787176724137931,0.793333333333333,0.783126477541371,0.778959810874704,0.832407407407407,0.847222222222222,0.824742268041237,0.860679711475147,0.832407407407407,0.80952380952381,0.786111111111111,0.86875,0.815277777777778,0.79537037037037,0.816666666666667,0.833333333333333,0.9,0.882352941176471,0.876761717469682,0.853654539495247,0.874597423510467,0.87962962962963,0.917763157894737,0.856481481481482,0.873355263157895,0.856481481481482,0.856481481481482,0.875658608399194,0.871313107663802,0.852,0.866050808314088,0.856481481481482,0.867400404157044,0.940070505287897,1.02254127860212,0.938785252643948,1,0.96875,1.02918454935622,1.04638009049774,0.968579808416747,1.03927203065134,1.17241379310345,1.15384615384615,1.14073412698413,1.18010167029775
"Kennewick, WA",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.832777567260326,0.878571428571429,0.878571428571429,0.886727688787185,0.888888888888889,0.888888888888889,0.888888888888889,0.951388888888889,0.84274434197757,0.88519003931848,0.884665792922674,0.863636363636364,0.871957310981701,0.877477020629851,0.951872737399053,0.898520084566596,0.901741293532338,0.879828326180258,0.884665792922674,0.846432889963724,0.881271808999082,0.894521836553503,0.881382483238196,0.850901985334395,0.87523332936177,0.865191146881288,0.886363636363636,0.886363636363636,0.916666666666667,0.876777251184834,0.885514714643155,0.916666666666667,0.923482849604222
"Greeley, CO",137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922588950494589,0.9,0.880829015544041,0.85995085995086,0.916666666666667,0.890207715133531,0.890207715133531,0.970669110907424,0.963562237932446,1.00494118675937,1.00306610013852,0.928242835595777,0.958333333333333,0.910401883016078,0.972222222222222,0.882352941176471,0.928571428571429,0.987047101449275,0.954861111111111,0.936030103480715,0.936234817813765,0.9375,1.02564218742448,1,1.04464285714286,1,1.07389851109085,1.05027858436949,1.05325987144169,1.04091565000656,0.988286969253294,1.11875,0.99375,1.02857142857143,1.10981308411215,1
"Lynchburg, VA",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.730282375851996,0.719307854592665,0.688888888888889,0.679771505376344,0.6875,0.666794950738916,0.700192037217354,0.729355203619909,0.726144109055501,0.712365591397849,0.790357142857143,0.790357142857143,0.739247311827957,0.682678311499272,0.693094978165939,0.71875,0.739583333333333,0.763256990907531,0.769167736806702,0.78137216290332,0.766176364554041,0.783660473381286,0.792703150912106,0.804433084496376,0.778606965174129
"Olympia, WA",139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90625,0.936192468619247,1.00113122171946,0.972222222222222,0.998931623931624,1.02403774336504,1.02941176470588,1.05325443786982,1.07692307692308,1.03308693204329,1.02941176470588,1.1,1.02232142857143,1.04990403071017,1.02983870967742,1.04539854999293,1.07268464243845,1.0725742052772,1.07559851956633,1.10845626780802,1.08685786017767,1.09753694973844,1.07965451055662,1.09639898397812,1.07434010331894,1.07465112366793,1.10467480445783,1.09613130128957,1.09613130128957,1.08925143953935,1.10940234095216,1.1134534583064,1.11524939347835,1.11875,1.16565664524848,1.18826843795331,1.13501803155275
"Amarillo, TX",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808238636363636,0.808157099697885,0.751737720111214,0.779456193353474,0.768515975464616,0.827951837194502,0.870374435889085,0.849878934624697,0.870967741935484,0.879699248120301,0.886831163146953,0.879699248120301,0.872881355932203,0.870488988675009,0.840187655730897
"Bremerton, WA",141,,,,,,,,,,,,,,,,,,,,,,,0.863028953229399,0.815217391304348,0.820079522862823,0.805086002372479,0.787437343358396,0.854922613929493,0.778301886792453,0.817661488143908,0.930870973195002,1.03846153846154,0.906183368869936,1.006718924972,0.939988773474506,0.849514563106796,0.889830508474576,0.928520371694067,0.928520371694067,0.98125,0.955056179775281,0.950750619896874,0.97380410022779,0.993181555863343,0.986841555183946,0.99375,1.00767754318618,0.942495126705653,1,1.02880658436214,1.03125,1.06532663316583,1.03125,1.09028885344675,1.11932262078145,1.15175213675214,1.15235034105808,1.24569093114084,1.25341130604289,1.29219320066335,1.2592936802974,1.23786692759296,1.2592936802974,1.27990571263835,1.2551652892562,1.31030328798186,1.29508447786251,1.32258810169929,1.31379158425884,1.38775510204082,1.31687034955072,1.38714499252616
