"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Boston, MA",10,,,,,,,,,,,,,,,,,2600,2600,2595,2500,2400,2400,2600,2900,2900,3000,3000,3000,2900,2838,2800,2800,2800,2800,3000,3200,3200,3200,3200,3200,3200,3200,3000,3000,3000,3000,3100,3200,3300,3300,3400,3300,3300,3250,3200,3200,3162.5,3200,3300,3600,3500,3500,3500,3400,3350,3300,3250,3200,3200,3250,3450,3650,3700,3600,3600,3600,3500,3400,3400,3400
"San Francisco, CA",11,,,,,,,,,,,,,2400,2350,2395,2465,2600,2600,2675,2500,2685,2550,2400,2300,2497.5,2650,2350,2369,2400,2400,2300,2295,2250,2200,2200,2200,2195,2150,2100,2200,2275,2300,2400,2500,2499,2400,2650,2549,2400,2400,2500,2850,3000,3200,3297.5,3400,3400,3300,3395,3200,3262.5,3200,3400,3600,3800,3800,3800,3600,3700,3500,3650,3700,3950,4095,4200,3950,4000,4000,3700,3600
"Detroit, MI",12,,1900,2100,1992.5,1990,1987,1900,1950,1975,1997.5,1925,1900,1800,1800,1850,1900,2000,2000,2000,1800,1500,1500,1600,1600,1597.5,1650,1650,1800,1800,1800,1700,1662.5,1650,1700,1605,1450,1550,1600,1575,1650,1800,1850,1900,1800,1800,1800,1800,1800,1800,1800,1800,2000,1900,1975,1950,2000,1995,1999,1995,1950,1995,1995,2000,2000,2100,2150,2100,2000,1995,1995,1995,1995,1995,2000,2000,2000,2000,2000,2100,2000
"Riverside, CA",13,,2000,2050,2100,2200,2150,2050,2000,2000,2100,2100,1895,1875,1892.5,1950,1950,1900,1850,1850,1800,1800,1798,1825,1795,1797,1795,1695,1720,1750,1780,1750,1700,1725,1750,1749.5,1750,1750,1750,1795,1799,1795,1800,1800,1825,1810,1795,1795,1795,1795,1787,1795,1870,1875,1895,1884.5,1850,1850,1850,1850,1884.5,1897,1900,1950,1950,1995,1999,1995,1979.5,1995,1964,1980,1979.5,1995,2000,2050,2000,2000,2000,2000,2000
"Phoenix, AZ",14,,1900,1850,1725,1700,1495,1500,1400,1425,1395,1395,1295,1295,1295,1300,1300,1295,1250,1200,1200,1195,1195,1195,1195,1200,1250,1285,1295,1295,1295,1250,1225,1200,1200,1200,1200,1199,1200,1250,1250,1250,1250,1195,1200,1200,1200,1200,1200,1200,1200,1200,1300,1300,1300,1332.5,1295,1295,1295,1300,1300,1380,1450,1495,1500,1499,1450,1450,1400,1395,1392.5,1400,1400,1425,1495,1499,1495,1475,1475,1444,1399
"Seattle, WA",15,,1900,2100,2100,1972.5,2000,1995,1900,1995,1995,1825,1795,1800,1800,1850,1995,1937.5,1980,1895,1885,1895,1795,1795,1800,1800,1800,1850,1895,1895,1900,1895,1800,1850,1850,1800,1800,1795,1850,1844,1800,1895,1950,1895,1900,1895,1875,1800,1795,1795,1795,1800,1895,1900,1995,1999,1995,1940,1895,1877,1895,1895,1995,2000,2100,2200,2210,2226.5,2195,2175,2100,2200,2200,2195,2200,2260,2300,2300,2400,2395,2350
"Minneapolis-St Paul, MN",16,,,,,,,,,,,,,,,,,1654.5,1695,1600,1545,1597,1595,1500,1575,1535,1587.5,1595,1600,1695,1695,1695,1695,1600,1595,1595,1595,1595,1595,1600,1650,1750,1655,1650,1695,1695,1750,1700,1700,1695,1635,1600,1650,1725,1745,1795,1700,1675,1700,1700,1700,1700,1795,1800,1800,1795,1795,1795,1775,1750,1795,1795,1762.5,1775,1795,1795,1800,1785,1785,1800,1795
"San Diego, CA",17,,,,,,,,,,,,,2750,2800,2800,2850,2700,2695,2550,2500,2500,2500,2550,2500,2500,2500,2395,2400,2485,2495,2500,2450,2400,2399.5,2350,2400,2400,2499.5,2495,2495,2495,2550,2600,2650,2600,2500,2600,2500,2492.5,2500,2500,2650,2650,2695,2700,2625,2600,2695,2700,2800,2800,2795,2845,2800,2849,2850,2850,2800,2800,2795,2750,2800,2950,2950,2897.5,2930,2895,2850,2850,2900
"St. Louis, MO",18,,,,,,,,,,,,1350,1500,1472.5,1500,1500,1650,1500,1500,1500,1550,1550,1600,1800,1600,1550,1550,1650,1650,1600,1550,1525,1500,1495,1485,1449,1400,1495,1425,1500,1500,1612.5,1675,1550,1500,1400,1350,1200,1250,1250,1250,1350,1400,1595,1500,1500,1450,1400,1380,1400,1400,1400,1500,1595,1600,1600,1550,1495,1420,1400,1400,1500,1400,1500,1525,1500,1550,1600,1500,1600
"Tampa, FL",19,1500,1545,1675,1800,1650,1650,1872.5,1800,1800,1795,1800,1750,1650,1600,1600,1600,1600,1550,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1595,1550,1495,1500,1495,1475,1475,1475,1500,1550,1600,1600,1600,1600,1595,1595,1575,1550,1554.5,1525,1500,1500,1525,1600,1600,1600,1600,1600,1585,1586,1595,1583.5,1599.5,1600,1650,1650,1695,1675,1650,1650,1650,1650,1625,1667.5,1675,1695,1700,1699,1650,1695,1695,1695
